Dilution rate,Species,,Variance,Lag-1 AC,Lag-2 AC,Lag-10 AC,AIC fold,AIC hopf,AIC null,Smax
0.04,Brachionus,Lower,2.576060806337154,0.3512250645766367,0.3391219011136794,-0.1445368167240283,0.24794593181220734,0.5343315979971831,0.01199440764343628,0.3603732459971516
0.04,Brachionus,Mean,2.617576573803164,0.37065142962772346,0.35159688541730966,-0.1149353141661436,0.33295016760341944,0.627572619391608,0.039477213004972575,0.3800071959001972
0.04,Brachionus,Upper,2.657568023745503,0.3898947290008389,0.36342248821406664,-0.08708435927626842,0.4243526534823522,0.7179211510394728,0.07201580495660685,0.40357736152229523
0.04,Chlorella,Lower,0.01731664626974034,0.42681305401326713,0.3041328320604651,-0.17576256317052608,0.2300823932943618,0.578583196622996,0.005284446080633146,0.002530648265517357
0.04,Chlorella,Mean,0.01774792606157471,0.4493354468022709,0.3165892362925085,-0.1477987407614538,0.3136240100597093,0.6656303633008833,0.020745626639407308,0.002700374068263305
0.04,Chlorella,Upper,0.01814366521505719,0.4722700796421862,0.3285398563250618,-0.11941234087496244,0.4124682231452408,0.7552711919136832,0.039300056848847874,0.00287450194352473
0.07,Brachionus,Lower,8.705346094944444,-0.334349003461905,0.10375675519182437,-0.01951204595766302,0.00027469048148231107,0.8914176973046157,0.03126631032388202,1.165641676976622
0.07,Brachionus,Mean,9.048424134625545,-0.3178790035985684,0.12437205593039227,0.014994332833269657,0.0008807868357977703,0.9313936255389619,0.06772558762524022,1.2672345661594129
0.07,Brachionus,Upper,9.397884758725212,-0.30223590383230103,0.14381594396194225,0.05173452336939438,0.0017348134779000518,0.9644793582081745,0.10601875737070054,1.3696954982789105
0.07,Chlorella,Lower,0.020075598066127864,-0.028984388927690126,-0.08095933836495935,0.025713486031459766,0.06327310922549054,0.312992556509614,0.46914242249577176,0.002029713806438087
