Dilution rate,Species,,Variance,Lag-1 AC,Lag-2 AC,Lag-10 AC,AIC fold,AIC hopf,AIC null,Smax
0.04,Brachionus,Lower,2.542338610973772,0.3565621132462308,0.35589246888953613,-0.16093846022155414,0.1265012750823573,0.7070397863458321,0.0039319830935151704,0.30962205643658186
0.04,Brachionus,Mean,2.576682462233159,0.371091203809106,0.36383256564491523,-0.13619768458436135,0.19681551314810153,0.784792188625646,0.018392298226252456,0.3341350314684967
0.04,Brachionus,Upper,2.60842726874331,0.38425573016883896,0.3723292847063747,-0.11056695340019652,0.2644559857179028,0.8584328891804791,0.040810652307181096,0.36304790937351966
0.04,Chlorella,Lower,0.01737185471535398,0.44739004139323046,0.316571807697835,-0.20939163934130564,0.06831511055956124,0.7762835197978676,0.007461487278914998,0.0024315379765732794
0.04,Chlorella,Mean,0.01764031864545972,0.4635724547996347,0.3245193920879785,-0.1771735721548479,0.12632205987529335,0.8429776637730653,0.03070027635164163,0.002634245958976529
0.04,Chlorella,Upper,0.01793736031840897,0.4797962923108207,0.3329875683096614,-0.1436106413116946,0.18839790876633525,0.9098018756457893,0.06121792600049575,0.002863844460459396
0.07,Brachionus,Lower,8.702993501054108,-0.3637508683464575,0.14794352627994653,-0.0718199408147534,0.01355008726757099,0.60293648743366,0.2352297188184582,0.49773052673349005
0.07,Brachionus,Mean,9.033404620639818,-0.3511552007771958,0.1641588582053465,-0.041144316631166564,0.02119532586649075,0.676384511935592,0.30242016219791734,0.5348527513993963
0.07,Brachionus,Upper,9.378058803723496,-0.33694178083211457,0.1797495179679217,-0.011127890817083947,0.030060676759218273,0.7505965824607317,0.3693496909375188,0.5755941937047965
0.07,Chlorella,Lower,0.021185685204970037,0.0014610589263451457,-0.0647890619847934,0.038168732059627175,0.02739796211820049,0.819774043801547,0.044125468705841824,0.0017604018564012869
0.07,Chlorella,Mean,0.021784191271517272,0.013828042335032794,-0.05444563733058168,0.052699971210784596,0.052046046832749965,0.8695578259914756,0.07839612717577421,0.001875536412089437
