Dilution rate,Species,Sample,Variance,Lag-1 AC,Lag-2 AC,Lag-10 AC,AIC fold,AIC hopf,AIC null,Smax
0.04,Brachionus,1,2.438090623245398,0.3713716930887724,0.3968872358837996,-0.04274095586787642,0.13501838779818973,0.8649816103993969,1.8024132788835664e-09,0.2030166622765194
0.04,Brachionus,2,2.4042145332501037,0.5488726732412431,0.4535939358686371,-0.0871592074094279,0.9999274540863189,7.254289778197146e-05,3.0158992446863163e-09,0.2451906554401853
0.04,Brachionus,3,2.2120526775486207,0.3098694072497219,0.22517982142659682,-0.04398414472243915,2.0388573307103145e-05,0.9999796112158512,2.1084178582515698e-10,0.24629168683126995
0.04,Brachionus,4,2.7641368303259193,0.3645897888804804,0.3427259210038303,-0.09245123193404473,4.993862356588838e-47,1.0,8.221876455257005e-49,0.6151130081699937
0.04,Brachionus,5,2.7726531292042367,0.41283153912081183,0.3491280256836921,-0.3410957274695317,1.006567571493807e-21,1.0,2.509485447256495e-24,0.5467832425169047
0.04,Brachionus,6,2.3184056604074406,0.19529143426776271,0.38414361610795267,-0.13426679457479443,1.0958212661335962e-19,1.0,1.4593752008594726e-21,0.39881893305330307
0.04,Brachionus,7,2.349150283367553,0.2195355940467377,0.2596198310978662,0.19354940124893769,6.0162806326532694e-05,0.9999228267907664,1.7010402907250343e-05,0.19685836500438803
0.04,Brachionus,8,2.5795651948298413,0.34780410043909415,0.3999108812828191,0.1046375226916406,0.9999029543960598,9.704179747292439e-05,3.8064674337420194e-09,0.2560034256614853
0.04,Brachionus,9,2.778785282650744,0.39832390301738313,0.4012948915239292,-0.1283446720987096,1.3659289810557997e-36,1.0,2.8619331965462174e-38,0.6414438694949002
0.04,Brachionus,10,2.4231107292577616,0.43661275002795624,0.3899370645665029,-0.22078458272427876,1.0898794025857429e-22,1.0,2.582077262990638e-26,0.38173549451486466
0.04,Brachionus,11,2.831031694611568,0.3073974219062555,0.27084717354666416,0.22063786868022892,0.0041517115251925195,0.9958251563004723,2.3132174335149908e-05,0.35077644207301123
0.04,Brachionus,12,2.648271477932092,0.3181795548100675,0.35608066783321857,-0.04934693600190037,6.610243954532199e-10,0.9999999993387305,2.4507299761942115e-13,0.2519579633864371
0.04,Brachionus,13,2.69755454081066,0.35764357181963374,0.3862042715314893,-0.004167935157648688,1.6769089459247845e-20,1.0,2.2842323974894335e-25,0.4091730700642138
0.04,Brachionus,14,2.434743447108238,0.5251096354811096,0.4074072447831026,-0.15032174579164004,5.199052093997857e-06,0.999994800947903,2.9088723191945875e-15,0.2947323617004279
0.04,Brachionus,15,2.593745252358631,0.27871497396378647,0.25957109901284453,-0.10808305689744141,0.9026141146141153,0.011608659992154213,0.08577722539373032,0.17667233019436798
0.04,Brachionus,16,2.5764365697765172,0.31378340920136044,0.35780862090957166,-0.08290322803178764,0.9275060239943487,0.07249397577159208,2.3405939399084276e-10,0.3222023473928198
0.04,Brachionus,17,2.2117093134338446,0.4075903204454195,0.448269304681972,-0.22886664678186644,7.929533437786506e-22,1.0,1.099315503561129e-26,0.44460218343485153
0.04,Brachionus,18,2.3173869161600313,0.21166831423446408,0.3322264116240444,0.038982695825379166,1.056901043762507e-12,0.9999999999989431,5.4886384980772465e-17,0.31969955813085127
0.04,Brachionus,19,2.7221526867244,0.23777982725562827,0.3208044702906547,0.3076212294093535,1.6429408246410522e-32,1.0,2.2033311843098875e-33,0.46314334276053964
0.04,Brachionus,20,2.0485559036159637,0.2224474984089837,0.23854619801009705,-0.15852999353952033,7.1854564556664795e-12,0.9999999999927891,2.5542862954040998e-14,0.24303013675218732
0.04,Brachionus,21,2.7055953800453705,0.39479602066863767,0.3624789577004205,-0.1750835746465757,1.2525970717534614e-06,0.9999987390314224,8.371505784866967e-09,0.24308415482856302
0.04,Brachionus,22,2.764703370062345,0.35463132388400614,0.4803125884569987,-0.29889939654556724,8.693195630056586e-28,1.0,1.8068850457968747e-30,0.4939199114626778
0.04,Brachionus,23,2.5728464394909447,0.4118997164609635,0.25910075513715913,-0.15306130175453964,0.00011196157661800394,0.999887255383812,7.830395698852305e-07,0.1987830126366762
0.04,Brachionus,24,2.4678569077623727,0.398633202221862,0.3576875217977772,-0.010448622121916384,0.9990724424341973,0.00011056741303179812,0.000816990152770726,0.1592550875783357
0.04,Brachionus,25,2.4341914332697177,0.28661131273578994,0.3556233282683941,0.14011690721989017,0.03908151104694687,0.9609184393693143,4.958373877711581e-08,0.21375628082582626
0.04,Brachionus,26,2.74583881698669,0.3679687600082623,0.3297030470828636,-0.009460406107814628,2.642490413767618e-11,0.9999999999730311,5.439401508673998e-13,0.2831800308005463
0.04,Brachionus,27,2.626635929351453,0.42249784929066225,0.38453871683824303,-0.35653053819349084,2.5245729031529963e-22,1.0,3.9076774999320514e-30,0.458378744483324
