Realisation number,Variable,index,Lag-2 AC,Lag-4 AC,Smax,Standard deviation,Lag-1 AC,Coefficient of variation,Variance,Skewness,Kurtosis
1,Chlorella,0,-0.8781043517885625,-0.636135794030531,0.8461538461538461,0.7202096149464572,-0.801321485532012,0.6345408976987925,0.7202096149464572,-0.3989519252677148,-0.8673957621326044
1,Brachionus,0,-0.8632946001367054,0.37639553429027117,-0.2527472527472528,-0.30576441102756896,-0.7883344725449989,-0.774436090225564,-0.30576441102756896,-0.1925267714741399,-0.2009569377990431
2,Chlorella,0,-0.8058783321941217,-0.2007290954659376,0.9120879120879122,0.9660514923672819,-0.5807701070858967,0.9357484620642517,0.9660514923672819,0.5823650034176351,-0.03896103896103897
2,Brachionus,0,-0.8844839371155161,-0.6748689906584644,0.45054945054945056,0.4076099339257234,-0.5657325131009342,-0.5885167464114833,0.4076099339257234,-0.5871496924128504,-0.8063340168603328
