Realisation number,Variable,AIC fold,AIC hopf,AIC null
1,Chlorella,7.619942024321339e-45,1.0,4.147913549078915e-45
1,Brachionus,0.998953321911358,0.001046193558869131,4.845297729075188e-07
2,Chlorella,5.473540082240737e-16,0.9999999999999996,1.3620600412991245e-17
2,Brachionus,0.9999999999846876,1.531200130542773e-11,3.928298825656574e-16
3,Chlorella,1.1925037209534962e-23,1.0,8.359268048296647e-25
3,Brachionus,0.9999999999999964,4.011964955809908e-16,3.096806220864412e-15
4,Chlorella,4.3520955882349415e-31,1.0,6.016520705291391e-32
4,Brachionus,0.999999999999093,3.6612989213597485e-13,5.409057215727629e-13
5,Chlorella,1.4104147236525414e-31,1.0,1.603561959436452e-32
5,Brachionus,0.9999999999999758,1.9064414436459368e-14,5.013189809989354e-15
6,Chlorella,2.4647192135202467e-17,1.0,3.369772351253201e-19
6,Brachionus,6.363142341645363e-07,0.9999993636857659,2.5769666465545697e-17
7,Chlorella,3.392126581144776e-21,1.0,2.2692347772605722e-23
7,Brachionus,0.09506411727187036,0.9049358827227288,5.40075844370832e-12
8,Chlorella,1.474678519477021e-20,1.0,2.6769069986471556e-22
8,Brachionus,0.9999999999712901,2.870860721061972e-11,1.3198653457941559e-15
9,Chlorella,1.2117887019138397e-21,1.0,8.364948923430947e-23
9,Brachionus,5.662023795531728e-07,0.9999994337976206,3.101354541052885e-19
10,Chlorella,9.695135180795416e-33,1.0,1.596456369992161e-33
10,Brachionus,0.9999989073328104,1.0864995873876344e-06,6.167602259824954e-09
11,Chlorella,1.5572210379398387e-26,1.0,3.6082114766436066e-28
11,Brachionus,0.22630498665587045,0.7736950133054056,3.872385132573009e-11
12,Chlorella,7.819529380933177e-24,1.0,1.1287228116182414e-25
12,Brachionus,0.053759425972968754,0.9462405740270263,4.893302092430075e-15
13,Chlorella,2.2036200901050445e-21,1.0,4.5606926579771686e-23
13,Brachionus,0.9999999994717206,5.282779645423222e-10,1.5825480657039732e-15
14,Chlorella,6.580602047553748e-15,0.9999999999999933,5.78893801439846e-17
14,Brachionus,6.159742151845272e-13,0.999999999999384,3.397479407005174e-24
15,Chlorella,2.4882100406251307e-18,1.0,1.2637960144549946e-20
15,Brachionus,0.9999999999999996,3.490785453920556e-16,6.395580721203815e-21
16,Chlorella,2.4431748271416655e-12,0.9999999999975424,1.4501252058755348e-14
16,Brachionus,4.972994336722022e-06,0.9999950270056627,7.633017898292185e-16
17,Chlorella,4.47763503037648e-22,1.0,5.17321824061282e-23
17,Brachionus,7.997319306793197e-09,0.9999999920026806,7.799847796551656e-17
18,Chlorella,5.3202404357032445e-46,1.0,3.3053801730596427e-46
18,Brachionus,0.0022692417289800655,0.997730559654801,1.9861621886417306e-07
19,Chlorella,7.442583250792527e-16,0.9999999999999993,2.906613829002717e-17
19,Brachionus,1.4417836832644194e-11,0.9999999999855822,5.984255425162848e-23
20,Chlorella,2.7709543726810022e-45,1.0,1.1594689615198598e-45
20,Brachionus,0.9883058846397509,0.011690689649159569,3.4257110896732857e-06
21,Chlorella,2.18711624534797e-28,1.0,1.0100113261273853e-29
21,Brachionus,0.9999999986737207,1.3247824211485701e-09,1.496874469257642e-12
22,Chlorella,8.89279092505748e-33,1.0,9.69012898131609e-34
22,Brachionus,0.9999994841605883,5.145945973022843e-07,1.2448145733085343e-09
23,Chlorella,9.083636941853852e-20,1.0,1.4218879730708134e-22
23,Brachionus,0.999999985934251,1.4065433658727914e-08,3.1535008372399953e-13
24,Chlorella,6.157382210614698e-23,1.0,2.381216059716812e-24
24,Brachionus,0.9999999995402935,3.105474218039592e-10,1.4915910551570275e-10
25,Chlorella,5.767065271874676e-22,1.0,1.541167682070975e-23
25,Brachionus,0.634671388999649,0.36532861099512426,5.226622052833958e-12
26,Chlorella,2.536730884530086e-26,1.0,9.47191795375809e-28
26,Brachionus,0.9999999999914815,8.187173484543162e-12,3.3140083212400013e-13
27,Chlorella,3.139383364657107e-10,0.9999999996846431,1.4184548537473263e-12
27,Brachionus,1.6547799913297893e-14,0.9999999999999833,5.9686892798780165e-28
28,Chlorella,1.122514181373725e-22,1.0,2.4428779395184582e-24
28,Brachionus,0.999999999999982,1.5473289373122907e-14,2.491181313793679e-15
29,Chlorella,7.954690996870236e-07,0.999999204466997,6.390329386064127e-11
29,Brachionus,0.2155159373708203,0.7844840626291057,7.403864925977215e-14
30,Chlorella,8.595180938330941e-19,1.0,4.3288235922583594e-21
30,Brachionus,0.9999999999999882,4.278088210540374e-15,7.530547150644521e-15
31,Chlorella,3.1404106508549745e-23,1.0,2.0445569811581063e-24
31,Brachionus,0.9999999869033547,1.3096624248262808e-08,2.102599652052741e-14
32,Chlorella,1.5831849720211644e-28,1.0,1.5832738483226087e-29
32,Brachionus,0.9999999999994356,2.9060548145494246e-13,2.7385977467035836e-13
33,Chlorella,9.619241613386775e-27,1.0,4.732708549409437e-28
33,Brachionus,0.9999999999553009,4.439513115587685e-11,3.040107714953426e-13
34,Chlorella,9.887646730801734e-15,0.99999999999999,2.556148375509414e-17
34,Brachionus,1.764880000436497e-06,0.9999982351199996,2.288430686014713e-18
35,Chlorella,2.271681081850026e-09,0.9999999977272214,1.097527988397943e-12
35,Brachionus,1.1713309455202051e-13,0.9999999999998828,1.944040046177129e-22
36,Chlorella,0.00814833761385767,0.9918516521595175,1.0226624836123423e-08
36,Brachionus,4.284141650899621e-09,0.9999999957158583,1.1973987382082865e-19
37,Chlorella,3.261732845677949e-12,0.9999999999967377,4.600966908884661e-16
37,Brachionus,0.8817252083338025,0.11827479166617395,2.346512352543828e-14
38,Chlorella,1.912045601221837e-27,1.0,8.7861464998876e-29
38,Brachionus,0.9999999991391542,8.28747045425388e-10,3.209867731843423e-11
39,Chlorella,4.377927400320265e-35,1.0,9.687344752233328e-36
39,Brachionus,0.9999999982406973,1.4564582774960498e-09,3.0284434522551454e-10
40,Chlorella,2.4628052350775993e-24,1.0,1.2336774412274593e-25
40,Brachionus,1.0,2.996271911377667e-17,1.988682538251425e-21
41,Chlorella,4.265004379291396e-13,0.9999999999995728,6.489217137121243e-16
41,Brachionus,2.7361615187917933e-11,0.9999999999726383,4.15772487904144e-24
42,Chlorella,4.423180453312378e-19,1.0,2.6109263861196354e-20
42,Brachionus,4.584801538426922e-09,0.9999999954151977,7.337164539401959e-16
43,Chlorella,1.6020388106574812e-24,1.0,7.003730510732573e-26
43,Brachionus,0.9999999138612293,8.613876551358177e-08,5.007878732187517e-15
44,Chlorella,5.27032348922166e-32,1.0,5.5115073552403986e-33
44,Brachionus,0.9999999592383638,4.0755916734287215e-08,5.719344895029189e-12
45,Chlorella,2.8264268882496803e-25,1.0,2.4124623499206023e-26
45,Brachionus,0.9999999999999731,1.7040417286515508e-14,9.828488948269779e-15
46,Chlorella,5.723432638638636e-16,0.9999999999999993,8.931121832805467e-18
46,Brachionus,8.88155331155619e-10,0.9999999991118447,1.1187271575527158e-20
47,Chlorella,0.00019683516145618511,0.9998030480874746,1.1675106937181815e-07
47,Brachionus,1.0012909679304303e-25,1.0,1.8722263305386692e-37
