Realisation number,Variable,index,Lag-3 AC,Lag-6 AC,Smax,Standard deviation,Lag-1 AC,Coefficient of variation,Variance,Skewness,Kurtosis
1,Chlorella,0,0.33195020746887965,0.17517289073305672,0.37999999999999995,0.4511756569847857,0.5935684647302906,0.4932226832641771,0.4511756569847857,-0.462240663900415,0.5065006915629323
1,Brachionus,0,0.1402489626556017,0.04550484094052559,0.40666666666666657,0.4278008298755187,0.5503457814661135,0.4002766251728908,0.4278008298755187,0.5365836791147994,0.8217842323651452
2,Chlorella,0,0.00739972337482711,-0.3348547717842324,-0.8199999999999998,-0.7690179806362378,-0.583402489626556,-0.7661134163208853,-0.7690179806362378,0.1520746887966805,-0.37081604426002773
2,Brachionus,0,0.020262793914246197,-0.2822959889349931,-0.8266666666666665,-0.7498616874135547,-0.6143845089903182,-0.7502766251728908,-0.7498616874135547,0.08291839557399724,-0.553941908713693
3,Chlorella,0,0.07427385892116183,-0.21922544951590595,-0.40666666666666657,-0.5753112033195021,-0.19827109266943296,-0.5746196403872753,-0.5753112033195021,0.00843706777316736,0.7342323651452283
3,Brachionus,0,0.14543568464730292,-0.01500691562932227,-0.45333333333333325,-0.5419778699861688,-0.4074688796680498,-0.545643153526971,-0.5419778699861688,0.43367911479944676,0.7213692946058091
4,Chlorella,0,0.2739972337482711,0.48139695712309827,-0.15999999999999995,0.01970954356846473,-0.08174273858921163,0.0,0.01970954356846473,0.5160442600276626,-0.3486168741355464
4,Brachionus,0,0.2584370677731674,0.44661134163208854,-0.1333333333333333,-0.1686721991701245,0.20871369294605813,-0.15988934993084372,-0.1686721991701245,-0.09792531120331951,0.1405255878284924
5,Chlorella,0,-0.17358229598893501,-0.2347856154910097,0.13999999999999996,-0.205463347164592,-0.12323651452282158,-0.21002766251728908,-0.205463347164592,-0.6313969571230983,0.558298755186722
5,Brachionus,0,-0.48499308437067784,-0.17420470262793916,0.12666666666666662,-0.36237897648686035,0.06251728907330568,-0.3547026279391425,-0.36237897648686035,0.43893499308437073,0.6990318118948825
6,Chlorella,0,0.593015214384509,-0.4965421853388659,0.6133333333333332,0.602213001383126,0.6441908713692946,0.5964730290456433,0.602213001383126,-0.13118948824343016,0.46154910096818813
6,Brachionus,0,0.6993084370677732,-0.5727524204702629,0.6333333333333332,0.584508990318119,0.6638312586445367,0.5855463347164592,0.584508990318119,0.08852005532503458,0.5248271092669433
7,Chlorella,0,-0.6078146611341633,-0.5172890733056709,0.4866666666666665,0.577524204702628,0.39661134163208855,0.5616182572614108,0.577524204702628,0.5630013831258645,0.5366528354080222
7,Brachionus,0,-0.4266943291839558,-0.519225449515906,0.4466666666666666,0.5115491009681882,0.5035961272475795,0.5171507607192255,0.5115491009681882,-0.2530428769017981,0.18208852005532505
8,Chlorella,0,-0.6307745504840941,0.5554633471645921,-0.4733333333333333,-0.1521438450899032,-0.7056708160442601,-0.12987551867219918,-0.1521438450899032,0.19965421853388662,-0.020608575380359616
8,Brachionus,0,-0.5191562932226833,0.6270401106500693,-0.5066666666666665,-0.16708160442600278,-0.322060857538036,-0.18374827109266945,-0.16708160442600278,-0.03810511756569848,-0.165283540802213
9,Chlorella,0,0.43568464730290457,-0.48125864453665285,0.46666666666666656,0.5414246196403874,0.6452973720608576,0.5451590594744122,0.5414246196403874,0.4592669432918396,0.42116182572614114
9,Brachionus,0,0.5150069156293222,-0.5696403872752421,0.5266666666666665,0.562448132780083,0.6015905947441218,0.5586445366528354,0.562448132780083,-0.7987551867219918,0.5414246196403874
10,Chlorella,0,0.3100276625172891,-0.6827109266943292,0.4933333333333333,-0.14502074688796682,0.46313969571230984,-0.15082987551867222,-0.14502074688796682,-0.42358229598893504,0.43886583679114805
10,Brachionus,0,0.26742738589211623,-0.6058091286307055,0.5399999999999999,-0.0905255878284924,0.20131396957123102,-0.088865836791148,-0.0905255878284924,0.5522821576763486,0.05857538035961273
11,Chlorella,0,-0.36687413554633475,-0.5010373443983402,0.1533333333333333,-0.08921161825726141,-0.38222683264177043,-0.09100968188105119,-0.08921161825726141,-0.707883817427386,0.6955739972337484
11,Brachionus,0,-0.2219917012448133,-0.46127247579529745,0.0,-0.27634854771784234,-0.5645228215767636,-0.2781466113416321,-0.27634854771784234,0.6872060857538036,0.7056708160442601
12,Chlorella,0,-0.18540802213001387,0.04605809128630706,0.16666666666666663,0.2470954356846473,0.15138312586445368,0.2760719225449516,0.2470954356846473,-0.8147994467496543,0.8478561549100969
12,Brachionus,0,-0.13838174273858922,0.19329183955739973,0.05333333333333332,0.19322268326417708,-0.11562932226832642,0.16265560165975107,0.19322268326417708,0.8062932226832643,0.784923928077455
13,Chlorella,0,-0.7511756569847856,0.05096818810511757,-0.3399999999999999,-0.8410096818810513,-0.8016597510373445,-0.8442600276625174,-0.8410096818810513,-0.7199170124481329,-0.18672199170124482
13,Brachionus,0,-0.7526279391424621,-0.25069156293222683,-0.4266666666666666,-0.8137621023513141,-0.8192254495159059,-0.8076763485477179,-0.8137621023513141,0.6630013831258645,-0.29965421853388663
14,Chlorella,0,0.508091286307054,-0.4149377593360996,0.4466666666666666,0.5465421853388659,0.3587136929460581,0.54716459197787,0.5465421853388659,-0.025449515905947444,0.22060857538035963
14,Brachionus,0,0.5372060857538037,-0.616390041493776,0.5533333333333332,0.5947441217150762,0.5046334716459199,0.5885892116182573,0.5947441217150762,-0.13706777316735824,0.2636237897648686
15,Chlorella,0,-0.3486168741355464,-0.27026279391424624,-0.1333333333333333,0.12890733056708162,-0.16936376210235132,0.1,0.12890733056708162,0.4455739972337483,-0.20318118948824346
15,Brachionus,0,-0.3232365145228216,-0.19315352697095436,-0.2133333333333333,0.10338865836791149,-0.42911479944674974,0.12510373443983402,0.10338865836791149,-0.413762102351314,-0.23831258644536654
16,Chlorella,0,-0.31168741355463353,-0.6032503457814662,-0.43999999999999995,-0.38181189488243433,-0.25165975103734445,-0.3824343015214385,-0.38181189488243433,0.2985477178423237,-0.04709543568464731
16,Brachionus,0,-0.35401106500691565,-0.48478561549100974,-0.3866666666666666,-0.2893499308437068,-0.2699861687413555,-0.2885200553250346,-0.2893499308437068,-0.011618257261410789,0.14273858921161828
17,Chlorella,0,0.7170124481327801,-0.7863762102351315,0.5333333333333332,0.4088520055325035,0.7282849239280775,0.41666666666666674,0.4088520055325035,-0.0831258644536653,0.3926694329183956
17,Brachionus,0,0.559405255878285,-0.8620331950207469,0.3133333333333333,0.15705394190871372,0.7311203319502075,0.14280774550484096,0.15705394190871372,0.021023513139695714,0.48153526970954363
18,Chlorella,0,-0.4392116182572614,-0.2998616874135546,-0.033333333333333326,0.14702627939142462,-0.19508990318118952,0.14522821576763487,0.14702627939142462,-0.28630705394190875,-0.5609958506224068
18,Brachionus,0,-0.29080221300138315,-0.29820193637621023,-0.02666666666666666,-0.15532503457814661,0.22883817427385894,-0.16134163208852006,-0.15532503457814661,0.49004149377593365,-0.16230982019363766
19,Chlorella,0,-0.08748271092669434,-0.8311894882434303,-0.35999999999999993,-0.5781466113416321,-0.34585062240663905,-0.5628630705394191,-0.5781466113416321,0.05684647302904565,0.3870677731673583
19,Brachionus,0,0.08485477178423237,-0.7951590594744122,-0.33333333333333326,-0.5115491009681882,-0.4142461964038728,-0.5186721991701245,-0.5115491009681882,0.015283540802213003,0.47593360995850625
20,Chlorella,0,0.05885200553250346,0.5249654218533887,0.15999999999999995,0.33589211618257264,0.3894190871369295,0.3234439834024897,0.33589211618257264,-0.5793222683264178,0.08644536652835408
20,Brachionus,0,-0.29446749654218535,0.5655601659751037,0.35999999999999993,0.3062240663900415,0.6389349930843707,0.31030428769017987,0.3062240663900415,0.6979944674965423,0.3273167358229599
