Delta,State variable,Smoothing,Residuals,Standard deviation,Variance,Lag-1 AC,Lag-2 AC,Lag-3 AC,Lag-6 AC,Coefficient of variation,Skewness,Kurtosis,AIC fold,AIC hopf,AIC null,Coherence factor,Params fold,Params hopf,Params null,Smax
0.005,0.07041736211820239,0.21168012887697696,-0.14126276675877458,0.14077225256410905,0.019816827091973306,0.9914379570275366,0.9664654602491742,0.9269010457973845,0.7463475085319757,0.6649738034294833,0.5975879843985525,-0.7488676881419837,5.958626649403178e-30,1.0,2.495860290016283e-40,0.002326171535719883,"{'sigma': 0.04108543777649618, 'lam': -0.27028360590181943}","{'sigma': 0.01740438366543695, 'mu': -0.06470703205042594, 'w0': 0.1911774514596242, 'delta': 2.7216007225661087e-12, 'psi': 0.2}",{'sigma': 0.04653305906548018},0.004652343071439766
0.01,0.18201376667886748,0.19813443947082943,-0.016120672791961943,0.05128850548190136,0.0026305107945670254,0.9871255225946572,0.9495983767551969,0.8894752434661692,0.6027317099355429,0.2588672260376352,0.37167464124919297,-0.1404079306608844,7.110064395723944e-19,1.0,6.593625789689066e-31,0.0,"{'sigma': 0.019390884437154626, 'lam': -0.2537655309635838}","{'sigma': 0.006908728233007366, 'mu': -0.03699635241864496, 'w0': 0.10930602362144315, 'delta': 8.004352736179499e-11, 'psi': 0.2}",{'sigma': 0.022695255374157106},0.0010806378538954897
0.015,0.20947952687765206,0.19860626495160388,0.010873261926048178,0.024568471188597528,0.0006036097765449468,0.9815814147131764,0.9293959258630532,0.847789267589273,0.47616869770293313,0.12370399966763893,0.24229499932517692,0.1242574629431037,7.496042242714525e-15,0.9999999999999925,2.2612534466827846e-28,0.0,"{'sigma': 0.010354179016086857, 'lam': -0.2593954245698562}","{'sigma': 0.004707131419760646, 'mu': -0.06763281718268832, 'w0': 0.19982170738097157, 'delta': 5.31574784190525e-13, 'psi': 0.2}",{'sigma': 0.01205251285504636},0.0002820403693939997
0.02,0.19486378267013504,0.20085870439025835,-0.0059949217201233085,0.014147814554562916,0.0002001606566703023,0.9715682180223687,0.8950984537283503,0.7818602334279321,0.32196653457295765,0.0704363977568819,0.1678673867025568,-0.0746964319423553,2.164671961020058e-24,1.0,2.7547481593270487e-37,4.3628689865309216e-05,"{'sigma': 0.006433564702084987, 'lam': -0.29489513158085945}","{'sigma': 0.002906898754305498, 'mu': -0.0714653750816332, 'w0': 0.21114503080398633, 'delta': 5.3290705182007514e-14, 'psi': 0.2}",{'sigma': 0.00704269450096596},8.725737973061843e-05
0.025,0.2286050967733858,0.20351424463658835,0.02509085213679746,0.011593230092400049,0.00013440298397533005,0.9667336248167718,0.8802604472775881,0.7560640576206318,0.2693581792468483,0.05696517096102573,0.2080115525966212,0.19387477975688347,9.597444320291843e-31,1.0,6.519624742532678e-43,2.884628724768514e-05,"{'sigma': 0.0054304327719775945, 'lam': -0.30948943919181904}","{'sigma': 0.0024287134086546924, 'mu': -0.07256232208352498, 'w0': 0.2143859696301326, 'delta': 4.565237077258644e-12, 'psi': 0.2}",{'sigma': 0.0058023893784078535},5.769257449537028e-05
0.03,0.2079561840876265,0.20613080968231748,0.001825374405309027,0.009247994439253155,8.552540114845727e-05,0.9590343724823779,0.8568807586561544,0.7151497980501935,0.19631462412960324,0.04486468580970833,0.18149030595904245,-0.028917750424296052,2.418266531246213e-37,1.0,1.163232730820446e-49,1.6739583571526382e-05,"{'sigma': 0.004441110434592424, 'lam': -0.3299715807469048}","{'sigma': 0.0019511017388871288, 'mu': -0.07459010443079794, 'w0': 0.22037706904079948, 'delta': 9.547251877961571e-12, 'psi': 0.2}",{'sigma': 0.004609793868296913},3.3479167143052765e-05
0.035,0.2269390649261857,0.20887542494379704,0.018063639982388663,0.007479302462740379,5.59399653291543e-05,0.9459913175782775,0.8169619381594064,0.6484054131590302,0.0897845763099528,0.03580749996282722,0.06045412838643366,-0.1746743832062272,2.524470564051018e-47,1.0,2.2623996660856424e-59,9.322704434515178e-06,"{'sigma': 0.003754970689961168, 'lam': -0.36660123933195354}","{'sigma': 0.0015868524518571903, 'mu': -0.07804250820268321, 'w0': 0.23057722400066208, 'delta': 2.424727085781342e-13, 'psi': 0.2}",{'sigma': 0.0037061122088371187},1.8645408869030357e-05
0.04,0.2054144440333913,0.21157111115767943,-0.00615666712428814,0.006677275645020434,4.4586010039583046e-05,0.9315069097798471,0.7739207325113294,0.5792125816462471,0.011344124710394834,0.031560428332237815,0.25760332975602174,-0.05370884173239181,6.816774189191247e-35,1.0,3.9058756999791856e-47,6.792869824193223e-06,"{'sigma': 0.0034545289538003344, 'lam': -0.3939106634289482}","{'sigma': 0.0013912006889325035, 'mu': -0.07918846355221287, 'w0': 0.23396295838395753, 'delta': 9.78772618509538e-13, 'psi': 0.2}",{'sigma': 0.003304590563396077},1.3585739648386446e-05
0.045,0.21867368979836446,0.2143228547007978,0.004350835097566674,0.005719652957235965,3.271442995121813e-05,0.9176277869234849,0.7351665752357806,0.5201890195076292,-0.0464464154040523,0.026687050607990148,0.1773158013807628,0.06551355947943395,3.831199684611123e-24,1.0,4.3830275980842065e-36,4.580918228912105e-06,"{'sigma': 0.0030871641437246102, 'lam': -0.43264314696589157}","{'sigma': 0.0011731764027929081, 'mu': -0.08162105762853966, 'w0': 0.24115007732826618, 'delta': 2.5091040356528538e-14, 'psi': 0.2}",{'sigma': 0.002822098607674536},9.16183645782421e-06
0.05,0.21919260304029314,0.2170654741665519,0.002127128873741252,0.004925395816933934,2.4259523953470294e-05,0.897106834022937,0.6782373451993099,0.4356887997927915,-0.1264899149940528,0.02269083155607702,0.04041141803538566,-0.2193471583171875,6.193832658778287e-12,0.9999999999938061,2.02069972956208e-24,3.1234861199335933e-06,"{'sigma': 0.002781273069449477, 'lam': -0.4823130507821829}","{'sigma': 0.000966174763702421, 'mu': -0.08355367303979166, 'w0': 0.24686000535843325, 'delta': 1.0950551576627277e-10, 'psi': 0.2}",{'sigma': 0.0024138992727807855},6.246972239867187e-06
