Delta,State variable,Smoothing,Residuals,Standard deviation,Variance,Lag-1 AC,Lag-2 AC,Lag-3 AC,Lag-6 AC,Coefficient of variation,Skewness,Kurtosis,AIC fold,AIC hopf,AIC null,Coherence factor,Params fold,Params hopf,Params null,Smax
0.055,9.718883467964686,9.950510203431358,-0.23162673546667278,0.17365000779350787,0.030154325206685345,0.8133473497002484,0.6030072809773718,0.3843334066331223,-0.13311168453421,0.017451351825454986,-0.0537016239456182,-0.08107098746164558,1.0017375502865338e-11,0.9999999999899827,1.1684922362802925e-23,0.0037001335630218713,"{'sigma': 0.09798026781115383, 'lam': -0.508077145179199}","{'sigma': 0.03285330058238167, 'mu': -0.08486285257932136, 'w0': 0.250727987363002, 'delta': 5.371760813943638e-10, 'psi': 0.2}",{'sigma': 0.08472401843587109},0.007400267126043743
0.06,10.920435506792787,10.711687387955305,0.208748118837482,0.1638502598406602,0.026846907649851863,0.789612234251378,0.5635587527029671,0.3455775989394338,-0.14477980134243715,0.01529639351591475,-0.062403173832526034,-0.1670711596894101,1.95045341273775e-09,0.9999999980495466,2.2517421311609577e-21,0.003115165622571962,"{'sigma': 0.0932388028813937, 'lam': -0.5297646379433845}","{'sigma': 0.030164366062980452, 'mu': -0.08522491550220423, 'w0': 0.2517977048965039, 'delta': 2.2594903725803306e-10, 'psi': 0.2}",{'sigma': 0.07944916864383082},0.006230331245143924
0.065,11.503402532059322,11.451325571854792,0.052076960204530565,0.1604300631760698,0.025737805170677752,0.7796007682483138,0.5388818991605764,0.3134720633225031,-0.16531978304376235,0.014009719899617577,-0.02895918389241511,0.07489067928849982,1.5985414709183139e-10,0.9999999998401459,2.434483109147734e-21,0.0030826208683028262,"{'sigma': 0.09514051682908953, 'lam': -0.5659893889182648}","{'sigma': 0.035435907825239976, 'mu': -0.11836281986206743, 'w0': 0.34970391215401236, 'delta': 5.295430760554609e-11, 'psi': 0.2}",{'sigma': 0.0781433776982703},0.0061652417366056525
0.07,12.199290332269824,12.1692167802063,0.03007355206352358,0.14907289272039423,0.02222272734402617,0.7492601254877733,0.5024877390849009,0.2766868081251835,-0.1813206288183217,0.01224999158948792,0.023855196472592138,-0.09838207432539374,4.286132415013017e-09,0.9999999957138677,1.2631135295966556e-20,0.002370089907947111,"{'sigma': 0.08978471624478788, 'lam': -0.5987550124410159}","{'sigma': 0.03291312458857276, 'mu': -0.12232847598129393, 'w0': 0.3614204753143776, 'delta': 1.7570167543112802e-11, 'psi': 0.2}",{'sigma': 0.07213554168633558},0.004740179815894222
0.07500000000000001,12.862271600837548,12.868346290672104,-0.006074689834555613,0.14532109323750086,0.021118220139742423,0.7414544553771978,0.4723387436164416,0.2319339375996497,-0.1852067261009733,0.01129290991943701,-0.037739332237216934,-0.16274265450169337,5.002789550718872e-11,0.999999999949972,2.3318628407373147e-22,0.0022333636273661026,"{'sigma': 0.08945710775528574, 'lam': -0.6254508713496065}","{'sigma': 0.032063990131162345, 'mu': -0.12312660507567452, 'w0': 0.3637785541920543, 'delta': 7.029932191926491e-12, 'psi': 0.2}",{'sigma': 0.07015640891590663},0.004466727254732205
0.08,13.594474866623177,13.54392290682819,0.050551959794987056,0.14300597751188324,0.02045070960412925,0.7236640246132269,0.45080249617154805,0.2303123716271954,-0.14601150206701313,0.010558676676622173,0.07585930147359105,0.04206603959597323,8.011108148867001e-05,0.9999198889185114,2.4351977606981876e-17,0.0021078189014851084,"{'sigma': 0.08711605872707617, 'lam': -0.6160404032719473}","{'sigma': 0.030269479426199064, 'mu': -0.12029589715879352, 'w0': 0.35541520467054066, 'delta': 4.413358567489922e-12, 'psi': 0.2}",{'sigma': 0.0695369495781234},0.004215637802970217
0.085,14.31166617102157,14.201467744850813,0.11019842617075604,0.14043712142173273,0.0197225850732225,0.7203007887737866,0.4385766817776741,0.20179579452638435,-0.18049931718945394,0.009888914425968103,-0.08365582870696302,-0.10184717562994933,1.5332550279748716e-08,0.9999999846674497,6.031516996373638e-20,0.0020050876147898297,"{'sigma': 0.08877756776262745, 'lam': -0.6583919566107999}","{'sigma': 0.03048571356352303, 'mu': -0.12338529676939025, 'w0': 0.3645428608942155, 'delta': 1.5987211554602254e-13, 'psi': 0.2}",{'sigma': 0.06807480885870844},0.0040101752295796595
0.09000000000000001,14.729047061197331,14.837977863433947,-0.10893080223661578,0.13113888662080647,0.017197407584144734,0.6869438127637338,0.39011572854072585,0.1434767059925304,-0.17262422410998865,0.008838058339472692,-0.048661292310310106,-0.04478540166994043,5.3687143696800135e-05,0.9999463128563032,1.0966694903008562e-17,0.0015359373128592485,"{'sigma': 0.0865694718178267, 'lam': -0.7166067727646914}","{'sigma': 0.02835028565220976, 'mu': -0.12754279598958873, 'w0': 0.3768262260932231, 'delta': 4.296341060694431e-12, 'psi': 0.2}",{'sigma': 0.06361962229170158},0.003071874625718497
0.095,15.398235846694154,15.454447372489808,-0.05621152579565347,0.1297614056225672,0.016838022389144412,0.6644187772328768,0.3301226614995165,0.0866279047349148,-0.20562256112412727,0.00839637467886271,-0.0980241606197862,-0.0718510560140028,5.811743246195386e-05,0.9999418825675377,1.1831037924385446e-16,0.0013128353940124928,"{'sigma': 0.09133404743176729, 'lam': -0.8080657201874177}","{'sigma': 0.028372595405432577, 'mu': -0.133936040895428, 'w0': 0.39571512035254724, 'delta': 2.916997754454087e-10, 'psi': 0.2}",{'sigma': 0.06262553636051972},0.0026256707880249856
0.1,16.157417546023364,16.05471183744847,0.10270570857489503,0.1275361164802768,0.01626546100687073,0.6478304259008115,0.30409575422081175,0.081946253749129,-0.12946439210992428,0.007943844005598095,0.019042418512643915,0.025291131539653868,0.973228014220241,0.026771985779720453,3.871177162130058e-14,0.0012930315838500246,"{'sigma': 0.08850533239247729, 'lam': -0.7973838957523429}","{'sigma': 0.026255778016020415, 'mu': -0.12795850969320366, 'w0': 0.3780544556731098, 'delta': 7.226730325271546e-11, 'psi': 0.2}",{'sigma': 0.061613683307498744},0.002586063167700049
