Variable,Delta,State variable,Smoothing,Residuals,Standard deviation,Variance,Lag-1 AC,Lag-2 AC,Lag-4 AC,Coefficient of variation,Skewness,Kurtosis,AIC fold,AIC hopf,AIC null,Coherence factor,Params fold,Params hopf,Params null,Smax
Chlorella,0.01,4.79224833806108,4.015414064284666,0.776834273776414,1.3243133234505065,1.753805778668526,0.9866326489220801,0.9476157613575896,0.8028480725481695,0.3297407175335679,0.5176668149560746,0.06930433557985671,4.555033496725631e-26,1.0,5.808433030719921e-37,0.3525959147664046,"{'sigma': 0.5085802636912123, 'lam': -0.26827810985191514}","{'sigma': 0.22028843075054527, 'mu': -0.06559596020502823, 'w0': 0.1938037970663438, 'delta': 1.6073142816708241e-10, 'psi': 0.2}",{'sigma': 0.577933913724164},0.7051918295328092
Brachionus,0.01,0.27205966006411986,0.43760800010957085,-0.165548340045451,0.16988177546749814,0.02885981763598945,0.9807251292334889,0.937510078644459,0.7892441193181696,0.3881633293052605,0.927863718746405,1.1204225795132134,3.970457820619195e-14,0.9999999999999603,1.4489944791385604e-27,0.0,"{'sigma': 0.06455273320923631, 'lam': -0.2535958514286918}","{'sigma': 0.028976130362074803, 'mu': -0.0664147050275401, 'w0': 0.19622278513520838, 'delta': 5.2655657611921924e-12, 'psi': 0.2}",{'sigma': 0.07617871247114913},0.011472666074646785
Chlorella,0.02,4.524389793221646,4.0209159782247355,0.5034738149969105,0.2775465064831195,0.07703206326098432,0.9722038839389417,0.89788393182082,0.6511389195235397,0.0690251105617211,0.11310016247051174,-0.6053710882910296,8.146394510012083e-25,1.0,1.890191787590769e-37,0.016776068928191716,"{'sigma': 0.12574750400828297, 'lam': -0.2947644648230061}","{'sigma': 0.0569040279463342, 'mu': -0.07142251203597194, 'w0': 0.21101839221262994, 'delta': 6.250469031243711e-10, 'psi': 0.2}",{'sigma': 0.13750587918417018},0.03355213785638343
Brachionus,0.02,0.7170649615458261,0.7952852895054017,-0.07822032795957556,0.054433853126009984,0.0029630443661440267,0.9183429405545209,0.8145648016135267,0.5621727137997083,0.06844557163753404,-0.02978456859590688,-0.492753027998549,3.830536506809533e-24,1.0,3.7055805592229745e-38,0.0005775412670575051,"{'sigma': 0.024680139985563357, 'lam': -0.30757700422266687}","{'sigma': 0.010947434891157348, 'mu': -0.07266706660039968, 'w0': 0.21469543815540798, 'delta': 4.463318603598054e-12, 'psi': 0.2}",{'sigma': 0.027103811828804454},0.0011550825341150102
Chlorella,0.03,3.98910224219497,4.122103490123252,-0.1330012479282825,0.14698175271732006,0.02160363563185542,0.943788828999619,0.8092369331672284,0.4460507117836543,0.03565697312971427,0.33717191218085857,0.13702795834486323,8.66541328050895e-34,1.0,7.17444144699668e-47,0.003456484767138041,"{'sigma': 0.07417640789351668, 'lam': -0.3729078667985757}","{'sigma': 0.030711120261177838, 'mu': -0.07814429892485619, 'w0': 0.23087796561703422, 'delta': 1.0166112396348126e-10, 'psi': 0.2}",{'sigma': 0.07281837293682908},0.006912969534276082
Brachionus,0.03,1.1641549202720511,1.1607169902163395,0.003437930055711691,0.03873930300287283,0.0015007335971483917,0.8475355338715349,0.6740853513081821,0.3280611260565224,0.033375294877840835,-0.19460837801820474,0.021651239261024302,1.4359686074726036e-21,1.0,1.1744293449291027e-35,0.00020429650127608165,"{'sigma': 0.01973374790904306, 'lam': -0.40953934537215586}","{'sigma': 0.007561500431328749, 'mu': -0.07865239528290258, 'w0': 0.23237914155586895, 'delta': 1.2261396342694297e-09, 'psi': 0.2}",{'sigma': 0.01913394463266439},0.0004085930025521633
Chlorella,0.04,4.297802112941969,4.231049376266902,0.06675273667506687,0.12859791029330253,0.016537422531804284,0.9350826121908176,0.7871556350981,0.40669891868106345,0.030393936876081724,0.047713732689271815,-0.19967539814623822,2.6498586887472002e-40,1.0,1.0536268214990382e-51,0.0027212257345831134,"{'sigma': 0.06609769000771781, 'lam': -0.38628501090083267}","{'sigma': 0.026815894846639488, 'mu': -0.07708849168534648, 'w0': 0.23051663974461828, 'delta': 0.0027580652889667157, 'psi': 0.2}",{'sigma': 0.06375217767281705},0.005442451469166227
Brachionus,0.04,1.5039030663914852,1.5058620385727686,-0.0019589721812833805,0.03946930462301704,0.001557826007424514,0.8587707209717514,0.7034961832359742,0.3566885600481368,0.026210491019471215,0.06890026469834648,-0.13651035804397857,6.132952568640971e-35,1.0,1.5006465910184886e-46,0.00023635235187026974,"{'sigma': 0.020040721054649557, 'lam': -0.39852177241060804}","{'sigma': 0.007953031059428017, 'mu': -0.07804430973707022, 'w0': 0.23058254713306528, 'delta': 4.846751888720746e-10, 'psi': 0.2}",{'sigma': 0.01954118477309911},0.0004727047037405395
Chlorella,0.05,4.2577492338190055,4.340647801070522,-0.08289856725151612,0.09332606028481981,0.008709753528285822,0.8880063808510938,0.6584392805606437,0.21349367302412525,0.021500467386754003,0.0457912924865008,-0.2893830051947984,0.31129409654060075,0.6887059034593844,1.48338608484071e-14,0.001078459587027563,"{'sigma': 0.05191009382017466, 'lam': -0.4703457104398847}","{'sigma': 0.02029621041106444, 'mu': -0.11265997725124932, 'w0': 0.33285481759351193, 'delta': 2.7934499158277504e-10, 'psi': 0.2}",{'sigma': 0.04598245344707151},0.002156919174055126
Brachionus,0.05,1.8526138872895739,1.8328911333110451,0.01972275397852874,0.03284901449206777,0.0010790577531000786,0.795684662910378,0.5801748256736888,0.20869715214799728,0.017921968074052764,0.033110210507371625,-0.1499045557845202,0.7251892688626269,0.274810731137348,2.505051901498591e-14,0.0001236726163248977,"{'sigma': 0.018043954445292474, 'lam': -0.48360397970528}","{'sigma': 0.006899956316751332, 'mu': -0.11294908766231049, 'w0': 0.33370899681468846, 'delta': 4.441671475063913e-10, 'psi': 0.2}",{'sigma': 0.016216593710787864},0.0002473452326497954
Chlorella,0.060000000000000005,4.381820631229453,4.452655783312537,-0.07083515208308366,0.09287068785714189,0.008624964663058681,0.8822726297599053,0.6489871713564719,0.22948689066567265,0.020857445596203388,0.10006402175487591,0.3985804048142122,0.9418406244849012,0.058159375515073,2.5707859364468795e-14,0.0010431408480712243,"{'sigma': 0.051083546555069734, 'lam': -0.46564137601790145}","{'sigma': 0.020110125451752614, 'mu': -0.11348730750570857, 'w0': 0.33529917165855694, 'delta': 3.916782453927681e-10, 'psi': 0.2}",{'sigma': 0.04565012128760363},0.0020862816961424485
Brachionus,0.060000000000000005,2.1658692599282356,2.1422260455008924,0.023643214427343295,0.035123784324955956,0.0012336802253060217,0.8190898532291452,0.62374748043907,0.2505012456472388,0.016395881788938547,-0.0013025983027941533,0.4504166180582584,0.999999999810135,1.8980903792442073e-10,5.5925198664195974e-14,0.00014442881914601265,"{'sigma': 0.018754608218019837, 'lam': -0.4603592965698513}","{'sigma': 0.0089636682733516, 'mu': -0.1561707240852721, 'w0': 0.46143531104076985, 'delta': 2.76390039111174e-05, 'psi': 0.2}",{'sigma': 0.017187606405452055},0.0002888576382920253
Chlorella,0.06999999999999999,4.550558837204142,4.5656129288579415,-0.01505409165379934,0.07792924631977967,0.006072967431968894,0.8372996882253303,0.5254526094135258,0.07903183807905316,0.017068756601080905,-0.07003482432273997,-0.0885080543773352,0.01112015210698256,0.9888798478930172,2.796251236856907e-16,0.0006546391580519922,"{'sigma': 0.046655102489334216, 'lam': -0.5638792231712912}","{'sigma': 0.01855402388159688, 'mu': -0.1274865326841108, 'w0': 0.3766866786076167, 'delta': 2.6682911445918833e-05, 'psi': 0.2}",{'sigma': 0.03793373812338331},0.0013092783161039844
Brachionus,0.06999999999999999,2.443068407376108,2.433526244074532,0.009542163301575979,0.031075887056809092,0.0009657107563675548,0.7730857859425864,0.5433919177737221,0.16847043089742722,0.012769912381605283,0.11394607383310904,-0.06397725967153133,0.2722616805805269,0.7277383194194672,6.034680267885065e-15,0.00010507802557789146,"{'sigma': 0.017372867673639224, 'lam': -0.511671608259781}","{'sigma': 0.006676507499295825, 'mu': -0.11753992159938109, 'w0': 0.3472726535892143, 'delta': 1.0851979315162907e-09, 'psi': 0.2}",{'sigma': 0.015226848142109142},0.00021015605115578292
