Dilution rate,Species,,Variance,Lag-1 AC,Lag-2 AC,Lag-10 AC,AIC fold,AIC hopf,AIC null,Smax
0.04,Brachionus,Lower,2.5405281557716615,0.35663578385957606,0.3658878394949521,-0.1429758139696021,0.17521389337329787,0.6587500117127347,0.001711951602498753,0.35930116211321217
0.04,Brachionus,Mean,2.570010484838448,0.3697677346156861,0.3723316675903745,-0.12017693036772835,0.24844884533076708,0.7398013908632173,0.011749763806015683,0.37592079860608457
0.04,Brachionus,Upper,2.60028348819383,0.3820142101760065,0.3783906702915711,-0.09853475772891256,0.3274770723436637,0.8156780840871798,0.024061092811452765,0.39259163805513836
0.04,Chlorella,Lower,0.017708193888631953,0.4541708147712542,0.32178745928952224,-0.2149577201272355,0.036069298039255376,0.8479239481569147,9.120972214447763e-06,0.0028042918864807005
0.04,Chlorella,Mean,0.017992896281038263,0.4709704472609624,0.3301842583784093,-0.19104638095173967,0.08567550507122082,0.9058944700924272,0.008430024836351914,0.0029462533308486577
0.04,Chlorella,Upper,0.01826316462084861,0.48647317814925606,0.337908864429357,-0.1638170686931467,0.14002015464250495,0.9560602651477426,0.02507898216249723,0.0030817473128810177
0.07,Brachionus,Lower,9.169862688498299,-0.36515018623869566,0.16615328049213265,-0.09758522940014581,0.0021531760522625087,0.6934242075514914,0.1924890254429115,0.5629658269833232
0.07,Brachionus,Mean,9.400444557509061,-0.3559480727624411,0.17898870730333463,-0.07261758273793642,0.0034920675961456083,0.7476068375651614,0.2489010948386929,0.5956587244883518
0.07,Brachionus,Upper,9.616695166943513,-0.34667888992742757,0.1922727989384188,-0.04614590963838972,0.004938217383632246,0.805115143107334,0.3073598257572943,0.6271469274883605
0.07,Chlorella,Lower,0.020653490224959915,-0.00730889522182608,-0.07622268484497999,0.04339372477765404,0.053900086770738584,0.5277028940631404,0.24507369930468426,0.001955338955342188
0.07,Chlorella,Mean,0.02114313328621208,0.00594671009993178,-0.06367633886418841,0.06035176800313002,0.08178571406808686,0.6085393930476137,0.30967489288429934,0.002039104997412412
0.07,Chlorella,Upper,0.02165046949418245,0.018267457839623115,-0.051640921772995785,0.07753596424431894,0.11352014820748628,0.6908760978979986,0.37495115648297844,0.0021363810181947497
0.12,Brachionus,Lower,7.8220549191075035,0.06886200398204409,0.04805564672014333,0.07079176183120595,0.2247423756772798,0.3718314931200644,0.1855835458904458,0.7166123579391976
0.12,Brachionus,Mean,8.01427836159629,0.08607916906804496,0.05764110791686331,0.08512372531659189,0.3012403078619958,0.4558681922252987,0.24289149991270562,0.7545766820397213
0.12,Brachionus,Upper,8.225868662458819,0.10377481617658425,0.06732039263720686,0.09954048490823482,0.3820866429501827,0.536400502576707,0.3041368820899672,0.7925225192394463
0.12,Chlorella,Lower,0.020688177730613714,0.4076404725315338,0.2691737815882557,0.056063679512696675,0.6531339963895803,0.1543412347365886,0.009741144101320069,0.002172223115563886
0.12,Chlorella,Mean,0.0220190403126665,0.42947856769778503,0.28351970447735114,0.07482156325611058,0.7379360494849797,0.2263320150988238,0.035731935416196514,0.0024331062837384494
0.12,Chlorella,Upper,0.023294556217327223,0.4502083380459598,0.29697437555221223,0.0952482087331505,0.815217539999148,0.30149732945647917,0.065733667688944,0.002720876136016758
0.32,Brachionus,Lower,27.53527176727125,-0.05639992045633573,-0.0211552822884811,-0.17775728681184158,0.16313633462873736,0.2303249810864288,0.405316839743982,1.9271015039314854
