Dilution rate,Species,Sample,Variance,Lag-1 AC,Lag-2 AC,Lag-10 AC,AIC fold,AIC hopf,AIC null,Smax
0.04,Brachionus,35,2.706827589521218,0.19569372357004264,0.2587213742189666,0.3271462004527598,0.9873112468274581,0.0015125329717232082,0.011176220200818772,0.2710906440737943
0.04,Brachionus,36,2.610190565554369,0.46604390737181556,0.41680425658100373,-0.06239539148758851,1.853861495036909e-10,0.9999999998146132,7.442950843226933e-16,0.27248366116248113
0.04,Brachionus,37,2.5517536174409456,0.3767993175936238,0.2896027439130451,-0.32581106004657334,2.2124927008619525e-35,1.0,2.0317878800557478e-41,0.5130941228167312
0.04,Brachionus,38,2.3119161179683876,0.26539289717528836,0.2721168024245283,-0.10356317079054476,0.9996920347658096,0.0001101975274090373,0.0001977677067811315,0.20484669749500548
0.04,Brachionus,39,2.7068144870209965,0.29339825337850617,0.38147915949627537,0.036435231738771445,6.02166230744497e-07,0.999999397668544,1.6522518865378724e-10,0.33495100866135696
0.04,Brachionus,40,2.449577350869843,0.4651496068961104,0.41204385457765835,-0.2723720021223401,9.230186377002537e-23,1.0,3.1413479790312987e-28,0.36049796590814404
0.04,Brachionus,41,2.6916738276177075,0.16183840374812652,0.267913315434653,0.1625573861984869,1.6062345038549825e-09,0.9999999978236283,5.701372665096314e-10,0.2985390753093508
0.04,Brachionus,42,2.711141845307609,0.3385240877239924,0.38908815536330577,0.026043291559288122,0.9674299826459063,0.006434072879458936,0.026135944474634742,0.304868314430703
0.04,Brachionus,43,2.6943122389921244,0.30385189966119647,0.3109436899627016,0.11292688358533566,0.9999999999468274,6.338284540224401e-12,4.683441397311013e-11,0.3074901865075273
0.04,Brachionus,44,2.1826251026483945,0.04361309738049564,0.16087521660440868,0.03271145594610589,0.09006766910055114,0.10846625565459009,0.8014660752448588,0.11791739819707997
0.04,Brachionus,45,2.6352491527465074,0.45797222407224686,0.29195485522013437,-0.15041319432687245,1.1217452074696138e-10,0.9999999998710494,1.6776157790619592e-11,0.3373312989265159
0.04,Brachionus,46,2.3222221562813217,0.2556813880361819,0.2658535285953857,-0.005211589196669186,1.67454834105884e-08,0.9999999832542977,2.18921968566321e-13,0.21269889093992336
0.04,Brachionus,47,2.690517747703147,0.44005156855270594,0.3963040570158597,-0.07054799076576668,2.407504163617271e-24,1.0,1.9355442642965212e-30,0.43308871184751613
0.04,Brachionus,48,2.104890144351584,0.28507781388589915,0.3317200251079037,-0.11310230075065891,0.6069140194941391,0.3930859794010463,1.1048146240112686e-09,0.2545820000055896
0.04,Brachionus,49,2.2739154609964847,0.26496318822851295,0.30566177044564563,0.02605873246381647,8.623208528823741e-10,0.9999999991376776,1.538586991847144e-15,0.2365218918381967
0.04,Brachionus,50,2.3307133501777915,0.26963661196055644,0.41344052377519414,0.030958164253503367,5.796981761238879e-06,0.9999134035716192,8.07994466195152e-05,0.25180621952329135
0.04,Brachionus,51,2.7559846115623396,0.4910104359040721,0.3660338302236585,-0.10565312324045825,9.885384530488203e-15,0.99999999999999,1.9691773460740397e-23,0.37898408300931835
0.04,Brachionus,52,2.774696201140195,0.3526312588315298,0.36310821544866156,-0.16921008068793844,1.4898503902059584e-25,1.0,2.574406552970848e-28,0.4939982895622568
0.04,Brachionus,53,2.5641833954163897,0.4665106776638702,0.3519651351492024,0.10799555309384802,0.8854330442687337,0.013656658824719323,0.10091029690654706,0.316606906908738
0.04,Brachionus,54,2.4574700231596007,0.2755008865697147,0.23175669229406357,-0.10095245593664215,0.999998278297257,1.7107849767282337e-06,1.0917766386175619e-08,0.2552506496243461
0.04,Brachionus,55,2.276944985083622,0.26464229141679096,0.29539536781634695,-0.0767693901647528,0.08778647423804305,0.9122135257520896,9.86739518924334e-12,0.2476398470891714
0.04,Brachionus,56,2.1951158903692547,0.150262995365936,0.2646044955152286,0.09363892290621723,0.7466399200357775,0.030201193160261378,0.22315888680396104,0.19077669942072864
0.04,Brachionus,57,2.6168637600816513,0.3509850276359754,0.3654041907278432,-0.30899945040257887,4.293098892073492e-20,1.0,2.4959563056364858e-23,0.35062983979360746
0.04,Brachionus,58,2.6215851865047095,0.2582580098303208,0.3689008614291877,-0.05448066734817174,0.999987811511624,1.2188401266455092e-05,8.710955724438443e-11,0.2040407908052035
0.04,Brachionus,59,2.699365966671864,0.2581768964088757,0.28698528251355165,0.0644875513028524,1.4783679551843857e-06,0.9999955291526824,2.9924793624593956e-06,0.2673327347441427
0.04,Brachionus,60,2.6794189004436997,0.3769367624227307,0.2955291305158485,0.027775290196099433,0.9999502552355886,4.9732670652079245e-05,1.209375938818332e-08,0.2390033284053568
0.04,Brachionus,61,2.7036090120950926,0.4471236982966333,0.4182687618882197,-0.09959311011547373,7.90383085170576e-20,1.0,1.4512267841416043e-22,0.3281244121137381
0.04,Brachionus,62,2.216368739234525,0.49587639547796003,0.31319935406062127,-0.18679737213618217,0.9997061498369004,0.0002937567947656793,9.336833390602465e-08,0.2598989040662179
0.04,Brachionus,63,2.6720746751557525,0.3131149716245988,0.3437401382666087,-0.21773778634126223,6.05627953737205e-43,1.0,7.998565548589803e-46,0.6020319581452565
0.04,Brachionus,64,2.6132208313565326,0.4288171301758837,0.42007905937226964,-0.16650341176928624,0.22378523353174387,0.7758508303653133,0.00036393610294280893,0.2898265789129669
0.04,Brachionus,65,2.3630991380082444,0.26324762401723323,0.2977351094789303,0.09193989482271095,0.9812687230215378,0.0022328156832111534,0.016498461295251086,0.12734608882223714
0.04,Brachionus,66,2.7552047096608736,0.3909824826409672,0.397076113651126,0.06059332993008307,0.9999400555024852,5.994449751471857e-05,2.4773345092563105e-22,0.37062401390526056
0.04,Brachionus,67,2.544911009747164,0.2894874245516149,0.39037755742870783,0.30892271438342106,2.54225466808112e-07,0.9999997455078001,2.6673306993665357e-10,0.32622305891430126
0.04,Brachionus,68,2.3656465086691223,0.307763460387664,0.269135242422298,0.14075174959730818,0.9968741030741605,0.00037261483294209085,0.002753282092897392,0.16627542284803187
0.04,Brachionus,69,2.486700033186047,0.2904120814805341,0.3499957549841057,-0.15193372240820696,1.3638134994634744e-05,0.9999863617803887,8.46166127735837e-11,0.35343997812180156
0.04,Brachionus,70,2.739892880056829,0.4336481585544806,0.34799728492781357,-0.31412926531732105,1.0755406692276854e-06,0.9999989244506111,8.719611450510915e-12,0.34413550646570673
0.04,Brachionus,71,2.2484841290336965,0.38468273227958055,0.35968937193650946,-0.13096877291919526,6.372906280360643e-13,0.9999999999993618,9.882853517269467e-16,0.31827734621538395
0.04,Brachionus,72,2.2790285379029025,0.29301920938807935,0.30573369139015155,0.01390823205951457,0.999999999825832,1.741662550166193e-10,1.7164494256502439e-15,0.2817006894368994
0.04,Brachionus,73,2.731931613115145,0.21931244382570408,0.34807323165087073,-0.053120084770068556,0.148127890911781,0.10178985182681856,0.7500822572614005,0.19209849594348527
0.04,Brachionus,74,2.652754010677636,0.21615373522229886,0.2751654309097209,-0.18780419810714238,0.3537803466059279,0.07703087456820681,0.5691887788258653,0.18911876655081458
0.04,Brachionus,75,2.3507786594141367,0.3931885542489682,0.31221650634896075,-0.29137583538085876,6.650804054764854e-44,1.0,1.4016250904782132e-48,0.5547840378904696
0.04,Brachionus,76,2.5654532133199823,0.32929192782933847,0.3867612270440389,-0.14277313363784305,1.690886731178126e-17,1.0,3.5930666499967516e-23,0.4745227279476595
0.04,Brachionus,77,2.24501034684527,0.26950382246127563,0.2884301558185136,-0.13209034394161334,2.3872244039427544e-13,0.9999999999997613,1.2173583761741837e-17,0.3225650661246211
0.04,Brachionus,78,2.613347827863248,0.3827213821420082,0.38200080880962056,-0.004269157620587927,0.03754243799248642,0.9624575620073758,1.379342807595038e-13,0.32175927959360606
0.04,Brachionus,79,2.3134102241223715,0.15587719686155105,0.19559906818499084,0.21384142510386817,0.9600374001837897,0.004763632388810628,0.03519896742739974,0.1348007088211857
0.04,Brachionus,80,2.783140058354404,0.3998026364203016,0.34175992726324966,-0.1931604509085802,0.18404364078370683,0.8159563495485448,9.667748253320057e-09,0.3503195492625822
0.04,Brachionus,81,2.3790322667210413,0.49572132561391746,0.425711874384377,0.0029168653203014605,0.00011099020932897003,0.9998890097769095,1.376138898076213e-11,0.3333368847483845
0.04,Brachionus,82,2.7319783184677857,0.546311303674925,0.3944952979228978,-0.3768875414539014,1.819658122072789e-07,0.9999998180341876,1.3143677588694778e-16,0.3640397194635056
0.04,Brachionus,83,2.9388549967787205,0.4118337461295018,0.3861765171281389,0.11689609199422504,0.9127263011272846,0.08727369671895081,2.1537645620057917e-09,0.32513663813796256
0.04,Brachionus,84,2.557939857811199,0.24488439343302518,0.27795887455098145,-0.09988014819100466,0.0001359535073728118,0.9998640398328363,6.659790761382938e-09,0.1661220877629574
0.04,Brachionus,85,2.401923784268038,0.30393439656998467,0.31206740567628066,0.022580159819738314,0.00013289434391268093,0.9998671056480352,8.052108956682986e-12,0.3380833615079558
0.04,Brachionus,86,2.547278081205694,0.3877063197796507,0.3547079945687073,0.015860458330006207,0.0035582871990442605,0.9947482398384073,0.0016934729625483118,0.23063085953966678
0.04,Brachionus,87,2.2551317662648653,0.3719938427242811,0.3787346312810124,-0.17399507295556677,6.97337749532981e-35,1.0,4.918899558775246e-43,0.3904648330278052
0.04,Brachionus,88,2.553099231003071,0.29141202269112126,0.281159324566531,-0.11143990403699379,0.00010840288222062298,0.9998908570432501,7.400745295100748e-07,0.1607831886298896
