Delta,Frequency,Empirical
0.12,-1.0995574287564276,0.00029061582097684595
0.12,-0.942477796076938,0.0018139394618107414
0.12,-0.7853981633974483,0.0038213622157111955
0.12,-0.6283185307179586,0.002209199825036846
0.12,-0.471238898038469,0.0012562518712124575
0.12,-0.3141592653589793,0.0012693801639386579
0.12,-0.15707963267948966,0.0005901095719667573
0.12,0.0,0.0005497308970373465
0.12,0.15707963267948966,0.0005901095719667573
0.12,0.3141592653589793,0.0012693801639386579
0.12,0.471238898038469,0.0012562518712124575
0.12,0.6283185307179586,0.002209199825036846
0.12,0.7853981633974483,0.0038213622157111955
0.12,0.942477796076938,0.0018139394618107414
0.12,1.0995574287564276,0.00029061582097684595
0.12,1.2566370614359172,0.0009771920020745653
0.12,1.413716694115407,0.0005879145679054229
0.12,1.5707963267948966,0.00042572992374965507
0.12,1.7278759594743864,0.00029758841130519774
0.12,1.884955592153876,0.000589187323090708
0.12,2.0420352248333655,9.068182358911667e-05
0.12,2.199114857512855,0.00023271885666423416
0.12,2.356194490192345,0.0005633143519067921
0.12,2.5132741228718345,0.00044253777487168186
0.32,-2.5132741228718345,0.00012446040568945806
0.32,-2.356194490192345,0.0003612049288561018
0.32,-2.199114857512855,0.0006533408945162077
0.32,-2.0420352248333655,0.0007077451714580234
0.32,-1.884955592153876,0.0005710327820746999
0.32,-1.7278759594743864,0.0006587936575207265
0.32,-1.5707963267948966,0.0006725985471610926
0.32,-1.413716694115407,0.00025106927199668595
0.32,-1.2566370614359172,0.00022611571544868856
0.32,-1.0995574287564276,0.0004204414209497028
0.32,-0.942477796076938,0.001704454059188728
0.32,-0.7853981633974483,0.0029374667921864533
0.32,-0.6283185307179586,0.001622149320232683
0.32,-0.471238898038469,0.000155615186091672
0.32,-0.3141592653589793,0.0003132068027679857
0.32,-0.15707963267948966,0.00016511300773989156
0.32,0.0,4.5206996430913934e-06
0.32,0.15707963267948966,0.00016511300773989156
0.32,0.3141592653589793,0.0003132068027679857
0.32,0.471238898038469,0.000155615186091672
0.32,0.6283185307179586,0.001622149320232683
0.32,0.7853981633974483,0.0029374667921864533
0.32,0.942477796076938,0.001704454059188728
0.32,1.0995574287564276,0.0004204414209497028
0.32,1.2566370614359172,0.00022611571544868856
0.32,1.413716694115407,0.00025106927199668595
0.32,1.5707963267948966,0.0006725985471610926
0.32,1.7278759594743864,0.0006587936575207265
0.32,1.884955592153876,0.0005710327820746999
0.32,2.0420352248333655,0.0007077451714580234
0.32,2.199114857512855,0.0006533408945162077
0.32,2.356194490192345,0.0003612049288561018
0.32,2.5132741228718345,0.00012446040568945806
0.64,-2.5132741228718345,0.0024505824592549927
