Delta,Frequency,Empirical
0.04,-2.5132741228718345,0.037591538504600466
0.04,-2.356194490192345,0.07308754570969064
0.04,-2.199114857512855,0.12257896258574315
0.04,-2.0420352248333655,0.04709278222255722
0.04,-1.884955592153876,0.012649989992283157
0.04,-1.7278759594743864,0.031197519592243466
0.04,-1.5707963267948966,0.029917604312272177
0.04,-1.413716694115407,0.02239143065624193
0.04,-1.2566370614359172,0.02993688265507463
0.04,-1.0995574287564276,0.051856973564622544
0.04,-0.942477796076938,0.05438719730555238
0.04,-0.7853981633974483,0.10097035474898153
0.04,-0.6283185307179586,0.10881314316595514
0.04,-0.471238898038469,0.2895231450749328
0.04,-0.3141592653589793,0.42420027212813755
0.04,-0.15707963267948966,0.24409028720993686
0.04,0.0,0.12386845793416135
0.04,0.15707963267948966,0.24409028720993686
0.04,0.3141592653589793,0.42420027212813755
0.04,0.471238898038469,0.2895231450749328
0.04,0.6283185307179586,0.10881314316595514
0.04,0.7853981633974483,0.10097035474898153
0.04,0.942477796076938,0.05438719730555238
0.04,1.0995574287564276,0.051856973564622544
0.04,1.2566370614359172,0.02993688265507463
0.04,1.413716694115407,0.02239143065624193
0.04,1.5707963267948966,0.029917604312272177
0.04,1.7278759594743864,0.031197519592243466
0.04,1.884955592153876,0.012649989992283157
0.04,2.0420352248333655,0.04709278222255722
0.04,2.199114857512855,0.12257896258574315
0.04,2.356194490192345,0.07308754570969064
0.04,2.5132741228718345,0.037591538504600466
0.07,-2.5132741228718345,0.49315897649820006
0.07,-2.356194490192345,0.08375871558777526
0.07,-2.199114857512855,0.267088127227843
0.07,-2.0420352248333655,0.3630062384540327
0.07,-1.884955592153876,0.3168526972881418
0.07,-1.7278759594743864,0.21918984033818012
0.07,-1.5707963267948966,0.2985346626148585
0.07,-1.413716694115407,0.1374220491131708
0.07,-1.2566370614359172,0.16103158006616786
0.07,-1.0995574287564276,0.08176260845504334
0.07,-0.942477796076938,0.11705501885268858
0.07,-0.7853981633974483,0.054672601124976516
0.07,-0.6283185307179586,0.0752409272697786
0.07,-0.471238898038469,0.3575833555552439
0.07,-0.3141592653589793,0.27596057552512393
0.07,-0.15707963267948966,0.14919499548646795
0.07,0.0,0.05328841923719321
0.07,0.15707963267948966,0.14919499548646795
0.07,0.3141592653589793,0.27596057552512393
0.07,0.471238898038469,0.3575833555552439
0.07,0.6283185307179586,0.0752409272697786
0.07,0.7853981633974483,0.054672601124976516
0.07,0.942477796076938,0.11705501885268858
0.07,1.0995574287564276,0.08176260845504334
0.07,1.2566370614359172,0.16103158006616786
0.07,1.413716694115407,0.1374220491131708
0.07,1.5707963267948966,0.2985346626148585
0.07,1.7278759594743864,0.21918984033818012
0.07,1.884955592153876,0.3168526972881418
0.07,2.0420352248333655,0.3630062384540327
0.07,2.199114857512855,0.267088127227843
0.07,2.356194490192345,0.08375871558777526
0.07,2.5132741228718345,0.49315897649820006
0.12,-2.5132741228718345,0.04090016813255409
0.12,-2.356194490192345,0.10741255053175094
0.12,-2.199114857512855,0.12636517272246767
0.12,-2.0420352248333655,0.335472278116724
0.12,-1.884955592153876,0.5568474899056532
0.12,-1.7278759594743864,0.27196858630956317
0.12,-1.5707963267948966,0.07976713561857346
0.12,-1.413716694115407,0.11876482921474943
0.12,-1.2566370614359172,0.43286418845131824
0.12,-1.0995574287564276,0.3435477272323634
0.12,-0.942477796076938,0.018025710720172703
0.12,-0.7853981633974483,0.15628846556482756
0.12,-0.6283185307179586,0.4349258846640401
0.12,-0.471238898038469,0.1305791372002683
0.12,-0.3141592653589793,0.5043189240886676
0.12,-0.15707963267948966,0.5802169908723376
0.12,0.0,0.3198761086514997
0.12,0.15707963267948966,0.5802169908723376
0.12,0.3141592653589793,0.5043189240886676
0.12,0.471238898038469,0.1305791372002683
0.12,0.6283185307179586,0.4349258846640401
0.12,0.7853981633974483,0.15628846556482756
0.12,0.942477796076938,0.018025710720172703
0.12,1.0995574287564276,0.3435477272323634
0.12,1.2566370614359172,0.43286418845131824
0.12,1.413716694115407,0.11876482921474943
0.12,1.5707963267948966,0.07976713561857346
0.12,1.7278759594743864,0.27196858630956317
0.12,1.884955592153876,0.5568474899056532
0.12,2.0420352248333655,0.335472278116724
0.12,2.199114857512855,0.12636517272246767
0.12,2.356194490192345,0.10741255053175094
0.12,2.5132741228718345,0.04090016813255409
0.32,-2.5132741228718345,0.9306159367437756
0.32,-2.356194490192345,0.4188029107184511
0.32,-2.199114857512855,0.4938769617218425
0.32,-2.0420352248333655,1.3623918766404552
0.32,-1.884955592153876,1.0944546437946745
0.32,-1.7278759594743864,0.3406040349678121
0.32,-1.5707963267948966,0.8463121822734897
0.32,-1.413716694115407,1.3330899014716104
0.32,-1.2566370614359172,0.37207065405661366
0.32,-1.0995574287564276,0.19182034971836426
0.32,-0.942477796076938,0.5497902433799481
0.32,-0.7853981633974483,0.42353979355254157
