Realisation number,Variable,index,Lag-2 AC,Smax,Lag-10 AC,Lag-1 AC,Standard deviation,Coefficient of variation,Variance,Skewness,Kurtosis
1,Chlorella,0,-0.8124556002841582,0.8476190476190477,-0.6607151314231589,-0.7645275870234431,0.7537295761307128,0.7320388349514564,0.7537295761307128,0.5037650959033863,0.45451101112952874
1,Brachionus,0,-0.869381955955482,-0.7047619047619048,-0.3130002367984845,-0.8250532796590103,0.039829505091167415,-0.19204357092114613,0.039829505091167415,0.5474307364432868,0.6784276580629884
2,Chlorella,0,-0.6667771726260953,0.4285714285714286,0.29007814349988165,-0.6680085247454417,-0.020980345725787355,-0.197632015155103,-0.020980345725787355,0.48302154866208863,-0.18427658062988397
2,Brachionus,0,-0.424390243902439,-0.39047619047619053,0.6773857447312337,-0.5542505327965901,-0.500734075301918,-0.7981529718209803,-0.500734075301918,-0.2934880416765333,-0.5822874733601705
3,Chlorella,0,-0.8624674402083827,0.8476190476190477,0.19554818849159367,-0.8574473123372012,0.330712763438314,0.21458678664456549,0.330712763438314,0.7852711342647407,0.5608808903623017
3,Brachionus,0,-0.6468860999289605,-0.46666666666666673,0.3554345252190386,-0.7525929434051623,-0.43973478569737157,-0.576414870944826,-0.43973478569737157,-0.044091877811982004,0.6750177598863367
4,Chlorella,0,-0.6014207909069382,0.7047619047619048,-0.2789012550319678,-0.6151551030073408,0.7873549609282501,0.6451811508406347,0.7873549609282501,-0.45157470992185655,-0.18134027942221173
4,Brachionus,0,-0.4319677954061094,-0.29523809523809524,-0.26886099928960455,-0.3876391191096377,-0.1403267819085958,-0.3742836845844187,-0.1403267819085958,0.6393085484252902,-0.5940326781908596
5,Chlorella,0,-0.793701160312574,0.8190476190476191,0.4526166232536112,-0.792848685768411,0.8625621596021786,0.8231588917830926,0.8625621596021786,0.1662798958086668,0.4738337674638882
5,Brachionus,0,-0.7243665640539901,-0.7428571428571429,0.6124082405872603,-0.7239876864788065,-0.522045938905991,-0.769263556713237,-0.522045938905991,-0.47184466019417476,0.689036230168127
6,Chlorella,0,-0.7848922566895572,0.7047619047619048,-0.524413923750888,-0.7659483779303813,0.8567842765806299,0.8221169784513379,0.8567842765806299,-0.09410371773620649,0.46928723656168597
6,Brachionus,0,-0.6277527823821928,0.1142857142857143,-0.5453469097797774,-0.4748756807956429,0.4923987686478807,0.18304522851053756,0.4923987686478807,0.3962585839450628,0.4394506275159839
7,Chlorella,0,-0.6860999289604547,0.7238095238095239,-0.0754439971584182,-0.5321809140421501,0.8587733838503434,0.8097087378640777,0.8587733838503434,0.6294577314705186,0.6347620175230879
7,Brachionus,0,-0.8595311390007104,-0.6,0.6149656642197491,-0.7725787354960929,-0.2123135211934644,-0.5019654274212645,-0.2123135211934644,-0.277954061094009,0.22784750177598864
8,Chlorella,0,-0.9398531849396164,0.7714285714285715,-0.6912147762254323,-0.9257399952640304,0.7570447549135686,0.7437840397821455,0.7570447549135686,0.480369405635804,0.23722472176178072
8,Brachionus,0,-0.728439497987213,0.4571428571428572,-0.505564764385508,-0.7091167416528534,0.0469334596258584,-0.31802036466966616,0.0469334596258584,-0.5633435946009946,0.5057542031730997
9,Chlorella,0,-0.6568316362775278,0.6761904761904762,0.23428842055410845,-0.6261425526876628,0.724461283447786,0.7079801089273029,0.724461283447786,0.4190859578498698,0.3565711579445892
9,Brachionus,0,-0.340184702817902,0.7428571428571429,-0.4973241771252664,0.024106085721051388,0.7339332228273739,0.6141131896755861,0.7339332228273739,0.17461520246270423,0.644896992659247
10,Chlorella,0,-0.68666824532323,0.9142857142857144,-0.0935354013734312,-0.5536822164338149,0.9117215249822402,0.8877575183518825,0.9117215249822402,-0.5995264030310206,-0.7370589628226379
10,Brachionus,0,-0.6304996448022733,0.0380952380952381,-0.11892019891072697,-0.5166469334596259,0.2802273265451101,0.07127634383139948,0.2802273265451101,0.10357565711579447,0.5145631067961166
11,Chlorella,0,-0.8001420790906939,0.9047619047619049,0.3205777883021549,-0.774094245796827,0.8421027705422686,0.8155813402794222,0.8421027705422686,-0.18948614728865734,0.21657589391427895
11,Brachionus,0,-0.7114847264977504,-0.5523809523809524,-0.043428842055410845,-0.6934880416765333,-0.21894387875917595,-0.5701633909542979,-0.21894387875917595,0.3922803694056358,0.5223300970873787
12,Chlorella,0,-0.9151314231588918,0.8761904761904763,0.24641250295998104,-0.9025337437840398,0.8651195832346673,0.8237272081458679,0.8651195832346673,0.1869287236561686,-0.6297418896519063
12,Brachionus,0,-0.7390480700923514,-0.2857142857142857,0.45100639355908123,-0.7855552924461284,-0.1169310916410135,-0.5095429789249348,-0.1169310916410135,0.6848685768411082,-0.08122188017996686
13,Chlorella,0,-0.9489462467440208,0.4476190476190477,0.4491120056831636,-0.9363485673691689,0.2378877575183519,0.0707080274686242,0.2378877575183519,-0.3626331991475255,0.7045702107506512
13,Brachionus,0,-0.9090693819559554,-0.8,0.694529955008288,-0.9270660667771726,-0.7957849869760834,-0.8881363959270661,-0.7957849869760834,0.7072223537769359,0.01738100876154393
14,Chlorella,0,-0.6320151551030073,0.8476190476190477,-0.04058726024153445,-0.6082405872602415,0.9345488988870473,0.9171205304286054,0.9345488988870473,0.12924461283447786,-0.07373904807009235
14,Brachionus,0,0.048638408714184234,0.5238095238095238,-0.2103244139237509,0.1515036703765096,0.6238692872365618,0.490599100165759,0.6238692872365618,0.7318493961638646,-0.16059673218091403
15,Chlorella,0,-0.828368458441866,0.6095238095238096,0.15728155339805827,-0.8083826663509355,0.853658536585366,0.8309258820743548,0.853658536585366,0.49874496803220464,0.0072460336253847984
15,Brachionus,0,-0.8184229220932986,-0.8095238095238096,0.48131659957376277,-0.8116978451337912,-0.6844896992659247,-0.8270423869287237,-0.6844896992659247,-0.6074828321098745,0.3068434762017523
