Realisation number,Variable,AIC fold,AIC hopf,AIC null
56,Chlorella,5.19263770933952e-29,1.0,7.517802158044617e-30
56,Brachionus,0.9999999977240557,1.982599076569217e-09,2.933454182069096e-10
57,Chlorella,5.580674760744054e-31,1.0,3.641307531546962e-32
57,Brachionus,0.9999999999999922,3.602526590596198e-15,4.319903910320629e-15
58,Chlorella,3.063570599441836e-20,1.0,1.1055439551456366e-21
58,Brachionus,7.39670362465462e-07,0.9999992603296375,1.298504818833116e-20
59,Chlorella,1.0001575829005717e-32,1.0,1.7526788340974547e-33
59,Brachionus,0.9999999824691909,1.749677086640427e-08,3.403838194898919e-11
60,Chlorella,1.4065968362456972e-12,0.9999999999985931,1.5292132495860675e-16
60,Brachionus,4.968664656962302e-10,0.9999999995031335,1.627301535620167e-21
61,Chlorella,9.211083614568755e-29,1.0,7.413850199535111e-30
61,Brachionus,0.999998429390008,1.5670077715733074e-06,3.6022203946702376e-09
62,Chlorella,4.197469423856806e-28,1.0,2.3195077589818532e-29
62,Brachionus,0.9999999999996227,2.864564596756343e-13,9.08490148237396e-14
63,Chlorella,1.5215939271108448e-23,1.0,8.133982714950895e-25
63,Brachionus,0.9999999999999947,1.1957905336403495e-15,4.1510902073012454e-15
64,Chlorella,2.3860699709094093e-25,1.0,1.4979428461736606e-26
64,Brachionus,0.9999999999787992,1.5243620125916673e-11,5.957331458062301e-12
65,Chlorella,5.825669502516171e-26,1.0,5.770997345246228e-27
65,Brachionus,0.9999999563131269,4.3114516047497323e-08,5.723569315407676e-10
66,Chlorella,1.2055133846652597e-18,1.0,1.9595080991131845e-21
66,Brachionus,0.00020380457533832093,0.9997961954243229,3.3868152618320603e-13
67,Chlorella,3.5101754034511875e-23,1.0,7.556842282996763e-25
67,Brachionus,0.9999999985246983,1.4752166193796777e-09,8.503044851168617e-14
68,Chlorella,1.1609626823406249e-22,1.0,1.1326973571129987e-24
68,Brachionus,0.9999999999999523,4.778330508493268e-14,6.807421119008069e-20
69,Chlorella,1.8244275404541495e-23,1.0,5.651135732123804e-25
69,Brachionus,0.005340547247289244,0.9946594527516387,1.0721581986875828e-12
70,Chlorella,5.5329899469102985e-12,0.9999999999944587,8.373814463305248e-15
70,Brachionus,0.36818777255635066,0.6318122274424576,1.1917470391860649e-12
71,Chlorella,1.2101362321688398e-34,1.0,3.1753814160992767e-35
71,Brachionus,0.9998866431334882,0.00011330818956599278,4.867694586886706e-08
72,Chlorella,1.7648849963266397e-16,0.9999999999999998,2.4396019078443268e-20
72,Brachionus,0.33853953168123363,0.6614604683186927,7.365820666302299e-14
73,Chlorella,2.8477045944951117e-43,1.0,1.2688181565706335e-43
73,Brachionus,0.9052244176612626,0.09477475748108112,8.248576562108574e-07
74,Chlorella,9.988571459857005e-39,1.0,3.9563909500874163e-39
74,Brachionus,0.0003932900639033677,0.999606694776056,1.516004071745551e-08
75,Chlorella,1.4526602781864654e-30,1.0,9.170098902903887e-32
75,Brachionus,0.9999999987440709,1.0638049487351595e-09,1.9212404945206745e-10
76,Chlorella,2.4792770717022383e-23,1.0,1.6039110831996418e-24
76,Brachionus,0.9334999468587687,0.06650005313990577,1.325469283035542e-12
77,Chlorella,2.807078039498705e-30,1.0,2.671731030094221e-31
77,Brachionus,0.9999999999620839,3.741751198691052e-11,4.986463505892372e-13
78,Chlorella,1.7103507919555227e-26,1.0,1.3611943746974453e-27
78,Brachionus,0.9999989120580809,1.0869028060249309e-06,1.0391130518864957e-09
79,Chlorella,1.7751336672319857e-32,1.0,4.093209834891191e-33
79,Brachionus,0.9999999999839684,8.752064802496822e-12,7.279504867792442e-12
80,Chlorella,3.429307200160479e-36,1.0,1.2236843191982754e-36
80,Brachionus,0.9999986301509876,1.3486732819843963e-06,2.1175730321475626e-08
81,Chlorella,4.791641089437373e-24,1.0,2.304447335593598e-25
81,Brachionus,1.0,9.56956953114027e-18,6.326881578865088e-17
82,Chlorella,6.596392858879608e-10,0.9999999993402382,1.2266246717175728e-13
82,Brachionus,0.0029143024071470167,0.9970856975928514,1.6125152497643792e-15
83,Chlorella,7.225134232758367e-25,1.0,4.746931552087967e-26
83,Brachionus,0.9999999999999996,9.393977414725883e-17,5.124270381571698e-16
84,Chlorella,1.7233527481039172e-22,1.0,1.238017793345695e-24
84,Brachionus,0.9999999999996054,3.945101786644781e-13,2.6526898024023804e-19
85,Chlorella,1.180199050976562e-14,0.9999999999999882,3.601967785290923e-17
85,Brachionus,2.3421203286467184e-07,0.9999997657879671,1.5883714077733246e-20
86,Chlorella,8.183392886131682e-12,0.9999999999918159,7.320904224925117e-16
86,Brachionus,1.2187791581742043e-05,0.9999878122084183,6.172494106516158e-22
87,Chlorella,3.4112537209856726e-26,1.0,1.227009298843569e-27
87,Brachionus,0.9999999999383011,4.985308782976816e-11,1.184579096733839e-11
88,Chlorella,1.1148006341240576e-27,1.0,1.894329197362854e-28
88,Brachionus,0.9992167286948617,0.0007832712709887697,3.414969132249911e-11
89,Chlorella,2.2341240143573496e-26,1.0,1.5530274569994062e-27
89,Brachionus,0.9978947941659079,0.0021052058332478225,8.442408653508834e-13
90,Chlorella,1.0069340585088138e-23,1.0,4.841450422090582e-25
90,Brachionus,0.9997386847615253,0.00026131522040270615,1.807214394591371e-11
91,Chlorella,2.3325387477713715e-21,1.0,7.403983804327197e-23
91,Brachionus,0.0027093441091528355,0.9972906558908455,1.4578886365527253e-15
92,Chlorella,2.6938280882110393e-52,1.0,1.4043322496592772e-52
92,Brachionus,5.056440625696456e-07,0.9999994940906173,2.653201654946196e-10
93,Chlorella,3.865584877812597e-42,1.0,1.036192970504879e-42
93,Brachionus,0.9884907891313391,0.011508466784096297,7.440845646126071e-07
94,Chlorella,3.232299064320392e-29,1.0,5.120463151582732e-30
94,Brachionus,0.9999999940206814,5.89699281016601e-09,8.23256240239267e-11
95,Chlorella,6.835905317903008e-31,1.0,1.2003225984583446e-31
95,Brachionus,0.0038970100110578736,0.9961029888093862,1.1795560177317809e-09
96,Chlorella,8.365596098374107e-10,0.9999999991618624,1.5777841540844464e-12
96,Brachionus,0.99995150621932,4.84937800558992e-05,6.238874849494688e-13
97,Chlorella,5.696109446431689e-13,0.9999999999994267,3.695399793392954e-15
97,Brachionus,1.3441815755038964e-07,0.9999998655818424,2.0781443274301327e-18
98,Chlorella,8.913299573516977e-19,1.0,1.689075121485252e-20
98,Brachionus,0.9881858775789927,0.01181412238123098,3.977630371312695e-11
99,Chlorella,2.517741411136558e-16,0.9999999999999998,3.3364901127662795e-18
99,Brachionus,0.9995938388315355,0.00040616116845783827,6.665584077686037e-15
100,Chlorella,3.876099163313173e-30,1.0,5.069664918588014e-31
100,Brachionus,0.9999999999698079,7.423909915792434e-12,2.2768262405249483e-11
