Dilution rate,Species,,Variance,Lag-1 AC,Lag-2 AC,Lag-10 AC,AIC fold,AIC hopf,AIC null,Smax
0.04,Brachionus,Lower,2.4956689532413896,0.3296221885815683,0.3219354485450808,-0.10840810566860144,0.3171588679706474,0.447848124265733,0.03329540677608647,0.32082537350466284
0.04,Brachionus,Mean,2.5376079166963894,0.3494961300156114,0.33433771417375785,-0.08315030346330259,0.3997411899464896,0.5380218468312937,0.062236963222216654,0.3419362528991089
0.04,Brachionus,Upper,2.5767507387791757,0.36830806532332666,0.3471664781366874,-0.05266421025773881,0.4862515831665925,0.6234546718762807,0.09623823166808596,0.36309144899129475
0.04,Chlorella,Lower,0.01738101540168383,0.4379094031306947,0.2964006981479243,-0.1481590039201935,0.2617473027422404,0.5666165678439241,0.00031556250895754763,0.002356564476010268
0.04,Chlorella,Mean,0.01777774304220964,0.4609460591988996,0.30884994755550865,-0.12608513413018343,0.3442720406325457,0.6523877380787205,0.003340221288733786,0.0025275167114411847
0.04,Chlorella,Upper,0.018185104587761774,0.4845161271171878,0.3211278679553952,-0.10317367310973959,0.4316213722302365,0.7319771270840507,0.007420227663372717,0.002699299321940307
0.07,Brachionus,Lower,9.006121617905876,-0.3492248165774363,0.13200599174516145,-0.05788943673908161,0.0017007444461349767,0.7273867909400148,0.14298017930032292,0.6658536028612475
0.07,Brachionus,Mean,9.32215854023971,-0.3356094655680523,0.15274168534613441,-0.022696161457127287,0.006220117799836675,0.7907331266636795,0.2030467555364837,0.723477274469534
0.07,Brachionus,Upper,9.613008098965361,-0.3208257946542078,0.17022558801714624,0.012422762718866213,0.013477667697877031,0.8483259052635259,0.26341712910578785,0.7872482140874509
0.07,Chlorella,Lower,0.020512589082785644,-0.010600131366016004,-0.07407015032271937,0.010083459959583136,0.06900106190727223,0.5526790523642603,0.20122276161887764,0.001922177189870702
0.07,Chlorella,Mean,0.021254311793437047,0.006708737320210831,-0.057001517803098256,0.0346945667221784,0.10963371253382123,0.6318591675326971,0.2585071199334816,0.0020394533802543975
0.07,Chlorella,Upper,0.02201647036446135,0.023503381312140043,-0.040978345278857464,0.06107141007748476,0.15351075819333262,0.7100469709795103,0.3224347067521772,0.0021582487258134477
0.12,Brachionus,Lower,7.634670488250212,0.062019211990285025,0.03685584407580663,0.04094381023886627,0.2225677876142107,0.29236997867109654,0.26690755127520477,0.7301431594142739
0.12,Brachionus,Mean,7.907942294458028,0.0843310034910049,0.048506400209111476,0.05746921464460808,0.29706764434560606,0.3684761313877014,0.3344562242666925,0.7684416361072768
0.12,Brachionus,Upper,8.16421682757316,0.10578171831675554,0.060125527339649654,0.07578562134629092,0.3752285517900673,0.44538121444441775,0.3986337490237654,0.8099833560575042
0.12,Chlorella,Lower,0.020841205004071054,0.40268303292898794,0.24888160171841398,0.0022430251676705563,0.5170310807838187,0.24866786781276434,0.03128912517219834,0.0025317608962976807
0.12,Chlorella,Mean,0.022572566906865547,0.4271555828727298,0.2686426845234808,0.02684524885683183,0.5987294542107532,0.33575647773236683,0.06551406805688001,0.0028563726979980216
0.12,Chlorella,Upper,0.024224657553009166,0.4497538947808063,0.28953673187182555,0.04989016704931838,0.6959969443657525,0.42726619864597,0.10518092029204971,0.0032009165765224416
0.32,Brachionus,Lower,28.681627410298386,-0.08730676994211554,-0.020931451790616357,-0.14777396015147137,0.13761934872795747,0.3664972378904013,0.28370949377762783,2.367989185463448
0.32,Brachionus,Mean,30.663036956890227,-0.06997567411747173,0.00014874270890589446,-0.12519402718092762,0.19967461888330232,0.4457653973994214,0.3545599837172763,2.569073177251697
0.32,Brachionus,Upper,32.514879928249265,-0.05415865150383781,0.019490329385270892,-0.09831822671125703,0.2606620867930249,0.5225053169239446,0.4193589933935518,2.7849719145606127
0.32,Chlorella,Lower,0.01714748250896211,0.25249292359040165,-0.028294172784504714,-0.08697293569653941,0.2068463044560914,0.5005629348556437,0.09671353745064654,0.0020155194480465633
0.32,Chlorella,Mean,0.017547387916604405,0.2655383036697838,-0.009367541530078427,-0.06490822724558713,0.2754662059853489,0.5847743434982462,0.1397594505164049,0.0021762155758369285
0.32,Chlorella,Upper,0.017883661292277052,0.27726480722161456,0.007778310424287128,-0.044600541635709465,0.345328176962839,0.6745820656468224,0.18530114330131084,0.0023310834780440426
0.64,Brachionus,Lower,11.613212413868037,0.6555663557199445,0.5908631359375421,-0.026861353657160282,0.19302559379249992,0.6275728715244377,7.825945002586304e-10,2.4589714987885216
0.64,Brachionus,Mean,12.372662587170907,0.6700620082517963,0.6092794845055036,0.008095047466448574,0.27972579612411436,0.7202740190742125,1.848016731563894e-07,2.7013586085905636
0.64,Brachionus,Upper,13.089808510392851,0.6832944722711319,0.6250920116376585,0.04178412308440361,0.3667524073988258,0.8065109443095863,5.217274487263056e-07,2.9938494870135557
0.64,Chlorella,Lower,0.31091087078616303,0.709149740636817,0.5907934547113167,-0.03153874705709309,0.281715342634005,0.5378182439610449,9.404315370154222e-09,0.06368471788463459
0.64,Chlorella,Mean,0.3368938981070659,0.7314558449732955,0.6126379031511372,0.007773357620783263,0.3747414760472707,0.6252347590610793,2.376489164998538e-05,0.07204640050350355
0.64,Chlorella,Upper,0.3634818908043875,0.7543490057837399,0.6344868450218609,0.04686361592902494,0.46453777711395844,0.7200200613418359,6.635888877805742e-05,0.08057852241225784
0.67,Brachionus,Lower,13.622622519265299,0.4476658510774023,0.3274108588164666,-0.011781253822257204,0.5988647478455219,0.2123004813911374,0.0051388627031680924,1.8848509098586337
0.67,Brachionus,Mean,14.226310278781822,0.4747929182283104,0.3526586546057444,0.013991523277536994,0.6885979252722341,0.2948223342385359,0.016579740489230187,2.0430783578911944
0.67,Brachionus,Upper,14.773795913730497,0.5002388104751584,0.3762887642641948,0.04057590605173208,0.7709917264509856,0.3806583191105782,0.03389711583608856,2.207379681028314
0.67,Chlorella,Lower,0.2283529765959493,0.5559242217966095,0.4513016249377155,-0.012627861727604899,0.4578909859835553,0.34909065032560643,0.00045081788371156416,0.0381744559344712
0.67,Chlorella,Mean,0.24402654559477646,0.5848873710476166,0.4828745850971454,0.01279015530232523,0.5505085804660933,0.44224451844544177,0.007246901088464842,0.04312341523468101
0.67,Chlorella,Upper,0.2599825371907702,0.6118327026677997,0.5122153036065697,0.03654424843054896,0.638423832999868,0.5369469828341116,0.018172522938743395,0.04804537097931067
0.69,Brachionus,Lower,18.959088618276226,0.2939850387948613,0.1415512520600543,-0.2207831188187778,0.2046498805904082,0.519161661325632,0.07543192460732025,2.888576845388371
0.69,Brachionus,Mean,19.509887244204254,0.3069708235109339,0.16305720828687328,-0.18237368544760973,0.27547455310228197,0.6064565772540054,0.11806886964371273,3.085599370595941
0.69,Brachionus,Upper,20.019975896297506,0.3199540161708887,0.18407602298126638,-0.14249429058000426,0.35748566453857356,0.6899976469477327,0.16801563307919107,3.285491410952977
0.69,Chlorella,Lower,0.6208531141524916,0.8272896608292782,0.6093691124421543,-0.38938323745948744,0.08133779884350048,0.7933560055028696,1.0823613608076736e-08,0.180770778532267
0.69,Chlorella,Mean,0.6381264867752617,0.8377216492471953,0.6299224259554227,-0.34040037290271097,0.14045527660540347,0.8595443647459275,3.586486692156371e-07,0.19416876749702358
0.69,Chlorella,Upper,0.6557981659847101,0.8476884529879929,0.6496927420911945,-0.29252393196409704,0.20369024651586803,0.9203403966877326,8.645616169758232e-07,0.20797671452976696
0.89,Brachionus,Lower,30.335893204533992,0.4870787211957933,-0.19717862686654788,0.002259796626018577,0.03556131920485221,0.8856052132727886,0.001113682249951621,8.081961351376647
0.89,Brachionus,Mean,30.335893204533992,0.49538377047763676,-0.1805208215972419,0.09706508969885652,0.07145211184161485,0.9262915555115775,0.0022563326468077066,8.715283249063946
0.89,Brachionus,Upper,30.335893204533996,0.5045992754829907,-0.15950823183482987,0.18644525429255024,0.11230934552010667,0.9622149588720452,0.003698029685312163,9.32609912287039
0.89,Chlorella,Lower,0.9332815402200874,0.4151628783486529,-0.030751096400094186,0.407864328632382,2.0136972723026074e-08,0.9999998963661724,2.332680893173918e-08,0.27136563104298034
0.89,Chlorella,Mean,0.9332815402200876,0.4318002607377763,-0.005533113903293351,0.45675809825818414,3.361051654611446e-08,0.9999999285442617,3.784522185026281e-08,0.28695429239373454
