Delta,State variable,Smoothing,Residuals,Standard deviation,Variance,Lag-1 AC,Lag-2 AC,Lag-4 AC,Coefficient of variation,Skewness,Kurtosis,AIC fold,AIC hopf,AIC null,Coherence factor,Params fold,Params hopf,Params null,Smax
0.11,0.24967018843247998,0.25150806453488644,-0.0018378761024064605,0.0036713723870747577,1.3478975204575005e-05,0.6320362410092563,-0.030820757782946222,-0.31366359092368157,0.014597427274918721,-0.08810174988740889,-0.07831521910050748,1.5526305145449738e-12,0.9999999999984475,1.1745479373244518e-17,1.000440079238574e-06,"{'sigma': 0.0036082881524933663, 'lam': -1.3578821643338055}","{'sigma': 0.0014703584563058314, 'mu': -0.30763899051477717, 'w0': 0.9089219815737141, 'delta': 8.681649377173528e-08, 'psi': 0.2}",{'sigma': 0.0017656153350542815},1.6674001320642902e-06
0.12,0.2590619900243111,0.25747703194711613,0.0015849580771949423,0.003903782101889749,1.5239514699034745e-05,0.5991287766015336,-0.1180648801045775,-0.3298665186258158,0.0151616646817754,-0.0357710224895224,-0.34720375706150014,2.778304510953734e-17,1.0,4.2009695360243284e-21,1.5275563781306838e-06,"{'sigma': 0.004061137612314915, 'lam': -1.4784456821687673}","{'sigma': 0.0016397670889145566, 'mu': -0.3187454289016678, 'w0': 0.9474713155156933, 'delta': 0.005735358387103817, 'psi': 0.2}",{'sigma': 0.0018837589400013785},2.1822233973295484e-06
0.13,0.26426313276287816,0.26352896975558115,0.0007341630072970062,0.004797394748361364,2.3014996371605197e-05,0.5397946325773721,-0.3063886554639079,-0.3509426361584918,0.01820443532336755,0.04224841108283924,-0.00039150358278215025,2.5512000263995457e-34,1.0,2.451007546113979e-35,9.686269194552566e-06,"{'sigma': 0.005675498983953821, 'lam': -1.7923167000957718}","{'sigma': 0.001314002368086875, 'mu': -0.1484420973681646, 'w0': 1.0443208851947845, 'delta': 0.6057475035312951, 'psi': 0.2}",{'sigma': 0.002322450059181746},5.535010968315751e-06
0.14,0.2642927697398903,0.2696964097155568,-0.005403639975666508,0.006850028501047741,4.6922890465166354e-05,0.5120206631087263,-0.41605359117278207,-0.3997966365714728,0.025399030602432874,0.11199345796736508,-0.09056736801465597,5.630064079177766e-44,1.0,2.7090551373870453e-44,2.6390563769452105e-05,"{'sigma': 0.008501731032433174, 'lam': -1.950652650905506}","{'sigma': 0.0015513091882293217, 'mu': -0.09887090004103705, 'w0': 1.0456556275846778, 'delta': 0.7535407508218948, 'psi': 0.2}",{'sigma': 0.0032843674056661754},1.5080322153972631e-05
0.15000000000000002,0.2947578676274652,0.2764425298699781,0.018315337757487116,0.024853554830523792,0.0006176991877138525,0.4850123699651605,-0.5154197005135625,-0.4479650037754338,0.08990526209482762,0.19130576994178786,-0.9651922024985898,3.714609568634895e-46,1.0,4.284653406863389e-46,0.0004845893150431306,"{'sigma': 0.03244429772466816, 'lam': -2.091981664516794}","{'sigma': 0.003860339809343305, 'mu': -2.303247425472499e-05, 'w0': 1.0340821873501431, 'delta': 1.03401413771799, 'psi': 0.2}",{'sigma': 0.01194426219872116},0.00027690818002464604
0.16,0.16628761377970572,0.29615088637319553,-0.12986327259348981,0.12486902091254037,0.015592272383656444,0.46120428079124365,-0.4364163252173286,-0.5907379928717352,0.42163992682308177,0.5992861065748235,-1.0647914410443708,9.07668385911255e-39,1.0,9.662826507257077e-39,0.01718982377580672,"{'sigma': 0.16109753453189915, 'lam': -2.072530958628839}","{'sigma': 0.01985364938591605, 'mu': -8.267173656761884e-06, 'w0': 1.0167728642586156, 'delta': 1.0167484388269372, 'psi': 0.2}",{'sigma': 0.0599804977596357},0.005729941258602244
0.17,0.13698752121645164,0.32486491181544386,-0.18787739059899222,0.21083989412254417,0.04445346095360563,0.46080551534747616,-0.333434142854462,-0.6703247813923137,0.6490122976660099,0.8512446748771983,-0.6428763593868134,5.560806442698676e-31,1.0,5.3677407813838334e-31,0.05719062266007083,"{'sigma': 0.26231909184220925, 'lam': -1.9795079265787114}","{'sigma': 0.040040209685889394, 'mu': -0.07924476752029541, 'w0': 0.9222070866793163, 'delta': 0.6880777777655862, 'psi': 0.2}",{'sigma': 0.10107385760624751},0.019063540886690288
0.18000000000000002,1.7669059385313945,0.6371375007442676,1.1297684377871269,0.8448807079683782,0.713823410697148,0.7167895649675524,0.2321108566999021,-0.47031132915728757,1.3259082769975719,1.0028638963479284,-0.6237739986818516,2.2711397452121465e-21,1.0,4.6234101807025784e-23,0.3154749883510364,"{'sigma': 0.7354893705029139, 'lam': -1.0993328165719878}","{'sigma': 0.11970197153318596, 'mu': -0.00032999942549016836, 'w0': 0.5451219593678601, 'delta': 0.5441469733864557, 'psi': 0.2}",{'sigma': 0.4055012199130653},0.21031665890069098
0.19,0.0020610020694917337,0.7445939291247812,-0.7425329270552894,1.0122193929410583,1.0245880994459646,0.7538093375479248,0.33185462703625485,-0.3965378556479346,1.3596069376944646,0.9745856481629678,-0.7394941524192014,1.274011583251797e-22,1.0,1.0104666070271867e-24,0.539575998857528,"{'sigma': 0.8249049082727699, 'lam': -0.9805731209324913}","{'sigma': 0.19680600637004697, 'mu': -0.09024288970609673, 'w0': 0.4938733100628701, 'delta': 0.22724995987315366, 'psi': 0.2}",{'sigma': 0.48483954337074875},0.3597173325716855
0.2,2.600658045165632,0.811170229583618,1.7894878155820138,1.1083303646155702,1.228396197128883,0.7696115817649165,0.37497473007010984,-0.35083459382753807,1.3663599771938424,0.9456885486117228,-0.834174575599332,1.557771299527775e-22,1.0,6.108866134348502e-25,0.6433969423831828,"{'sigma': 0.8779733751195341, 'lam': -0.926149430633799}","{'sigma': 0.22465877308884763, 'mu': -0.09630645411421868, 'w0': 0.4577467799618247, 'delta': 0.17320857950689805, 'psi': 0.2}",{'sigma': 0.532530106317172},0.428931294922122
0.21000000000000002,0.3643919363547424,0.8535918516196976,-0.48919991526495527,1.1659282546690353,1.3593886950355827,0.7761430438667583,0.39381063313544984,-0.32960952365866836,1.3658797114006822,0.9329943135136298,-0.8664770783232527,1.327591243601445e-22,1.0,4.1318492244557376e-25,0.7073268247231601,"{'sigma': 0.9107322895157847, 'lam': -0.9047865776355053}","{'sigma': 0.2305164704068885, 'mu': -0.09104246381485415, 'w0': 0.4436719445556934, 'delta': 0.17468624617105366, 'psi': 0.2}",{'sigma': 0.559378940420839},0.47155121648210685
0.22,2.4436510291694553,0.8761268334244648,1.5675241957449906,1.1789711232365307,1.389972909425607,0.7784454567809238,0.3875628120877336,-0.3491780255191013,1.3456352417497244,0.8987208972036771,-0.9339668244340446,3.90523398482715e-23,1.0,1.7033911353258982e-25,0.7374626224534844,"{'sigma': 0.9262008248750736, 'lam': -0.9171564478690333}","{'sigma': 0.2347244716123813, 'mu': -0.09346281800818201, 'w0': 0.45491383388292644, 'delta': 0.1787771793867028, 'psi': 0.2}",{'sigma': 0.5639258119664775},0.49164174830232305
0.23,0.00018838200064839002,0.9050073903135831,-0.9048190083129347,1.2111424747211805,1.4668660940737452,0.7776816693804899,0.38967809809650145,-0.3479403065670049,1.3382824923469678,0.8838470606506055,-0.965513383816219,7.07463713817426e-24,1.0,3.1180679200300114e-26,0.7867554238089997,"{'sigma': 0.9526359948476832, 'lam': -0.9140707131908772}","{'sigma': 0.24380081287566524, 'mu': -0.0944558708708616, 'w0': 0.45778076869470985, 'delta': 0.1787101314545223, 'psi': 0.2}",{'sigma': 0.5811481021541735},0.5245036158726666
