Delta,State variable,Smoothing,Residuals,Standard deviation,Variance,Lag-1 AC,Lag-2 AC,Lag-4 AC,Coefficient of variation,Skewness,Kurtosis,AIC fold,AIC hopf,AIC null,Coherence factor,Params fold,Params hopf,Params null,Smax
0.01,2.0961196377749927,2.1425244173559124,-0.04640477958091971,0.6720160037617148,0.4516055093118651,0.9777055356338927,0.9332492701307369,0.7840474493491075,0.3136419011209888,0.5842121685041534,0.107773647901147,2.7886733319563633e-14,0.999999999999972,1.8481185629102804e-27,0.0,"{'sigma': 0.2561736232264071, 'lam': -0.2511296328703847}","{'sigma': 0.11386562212403972, 'mu': -0.06566390851466264, 'w0': 0.19400455095799934, 'delta': 2.1999690957841267e-10, 'psi': 0.2}",{'sigma': 0.3040575209284371},0.1853068231235438
0.02,3.705206424098049,3.979135944134662,-0.27392952003661275,0.266486490067398,0.0710150493884414,0.9172203030878332,0.8173422413889242,0.5775144261471035,0.0669701091647374,0.11487153073843223,0.3123413408639119,1.9732734127905958e-30,1.0,2.4418127495418836e-43,0.013913588274258443,"{'sigma': 0.11741830918677357, 'lam': -0.30554403895908777}","{'sigma': 0.051302679846010335, 'mu': -0.07108283949577077, 'w0': 0.21001482794819254, 'delta': 1.6379497758123307e-09, 'psi': 0.2}",{'sigma': 0.12957251104583062},0.027827176548516887
0.03,6.318719906649197,5.804090445157504,0.5146294614916931,0.2410925366382022,0.05812561122264288,0.8961378323018796,0.7653041858970627,0.4571784154943048,0.04153832303900362,0.08091621330783227,-0.18474265386576427,2.5935740319801703e-43,1.0,3.262578221813944e-56,0.00993804468037296,"{'sigma': 0.11589905495316284, 'lam': -0.35106369406828053}","{'sigma': 0.04911930653769714, 'mu': -0.07583702215872168, 'w0': 0.22406109823578987, 'delta': 6.554439213601881e-10, 'psi': 0.2}",{'sigma': 0.11954517310529393},0.01987608936074592
0.04,7.563173232262176,7.531358885163752,0.03181434709842357,0.1887200435070591,0.03561525482130627,0.8460195986285358,0.664246676820308,0.2809928201855619,0.02505795449614542,0.0460464360542156,0.0009466988569669517,0.999747567594753,0.0002524324051776252,6.916945884409809e-14,0.004437216282557926,"{'sigma': 0.09869161681864734, 'lam': -0.4334656398777206}","{'sigma': 0.04606202743907972, 'mu': -0.12580607078498396, 'w0': 0.371718253094492, 'delta': 2.319572056008745e-05, 'psi': 0.2}",{'sigma': 0.09252661987472628},0.008874432565115851
0.05,9.34599407674545,9.167302656627452,0.17869142011799788,0.17491134886023393,0.030593979960106463,0.814614175501506,0.6048050480094486,0.20354211432980324,0.019079915627596037,0.14364948970581978,-0.11119603742799086,0.0026592515603415727,0.9973407484396579,3.4360205614541023e-16,0.0035871166557064483,"{'sigma': 0.0973386241557291, 'lam': -0.4994455278326342}","{'sigma': 0.03767107447310569, 'mu': -0.1152835311701812, 'w0': 0.34060612923713135, 'delta': 5.725953045043752e-10, 'psi': 0.2}",{'sigma': 0.0852815308533798},0.007174233311412897
0.060000000000000005,10.66699618657628,10.712437651106178,-0.0454414645298975,0.16713721988767166,0.02793485027177991,0.8020742264644951,0.5875902217612705,0.182047726675997,0.01560216293313253,0.056678498350265324,-0.12825804380165534,1.0367900777436952e-06,0.9999989632099222,2.8419899058048532e-18,0.0034694090479114896,"{'sigma': 0.09362939856659198, 'lam': -0.5056067638009383}","{'sigma': 0.03573933442146582, 'mu': -0.11317605703635603, 'w0': 0.3343795796736256, 'delta': 4.4504666618649935e-10, 'psi': 0.2}",{'sigma': 0.08151665267955407},0.006938818095822979
0.06999999999999999,12.07319052017735,12.170695636096333,-0.09750511591898281,0.15665272765339952,0.024540077081250163,0.7631767099295231,0.500764033194337,0.04137811643281475,0.012871288396858882,0.05439119103917835,-0.1485380558527861,5.2889579308254265e-11,0.9999999999471105,3.2193711189588487e-22,0.0027177193016991105,"{'sigma': 0.09676218117125146, 'lam': -0.6154909223161016}","{'sigma': 0.03490725685651075, 'mu': -0.12225595196969286, 'w0': 0.36120620316572916, 'delta': 6.499158988759746e-10, 'psi': 0.2}",{'sigma': 0.07599712238825657},0.005435438603398221
0.08,13.603405282304898,13.544334734361792,0.05907054794310618,0.15259416296964615,0.02328497857240693,0.7656279546342538,0.5052049946514955,0.08479899622551244,0.011266273639721082,0.042227605029036365,-0.05666247367391521,0.0009287969379964895,0.9990712030620036,9.896122418360196e-17,0.0024076597834533525,"{'sigma': 0.09030241531224358, 'lam': -0.5754442704580613}","{'sigma': 0.033222908906658466, 'mu': -0.12138443186080128, 'w0': 0.35863129009819217, 'delta': 8.187253097702296e-10, 'psi': 0.2}",{'sigma': 0.07405221714106297},0.004815319566906705
0.09,14.718725346917466,14.837271940782932,-0.11854659386546551,0.1347709728807075,0.0181632151312124,0.6891432632327475,0.3537285596851486,-0.038388476980781086,0.00908326803914069,-0.09078446260330462,0.1290624084996901,0.03355832473505426,0.9664416752649434,2.44638003389787e-15,0.0015647297960007726,"{'sigma': 0.09192298849167313, 'lam': -0.7516264293821595}","{'sigma': 0.02891856961970385, 'mu': -0.12831757800653, 'w0': 0.37911532639629114, 'delta': 5.48963541291414e-10, 'psi': 0.2}",{'sigma': 0.06555679718043533},0.0031294595920015452
0.09999999999999999,15.980005781005529,16.053474640417104,-0.07346885941157488,0.11982035801970135,0.014356918195969409,0.6149257026622565,0.25544888808078725,-0.05471222480326662,0.007463823443218298,-0.024935189854949226,0.0471726969719605,0.8960041596559442,0.1039958403438843,1.7149213919059196e-13,0.00099822321240056,"{'sigma': 0.08716305732953097, 'lam': -0.8823358177867746}","{'sigma': 0.024858193011475294, 'mu': -0.13403935379924792, 'w0': 0.39602035896576193, 'delta': 9.192868688501221e-11, 'psi': 0.2}",{'sigma': 0.05734738810548499},0.00199644642480112
