Variable,Delta,State variable,Smoothing,Residuals,Standard deviation,Variance,Lag-1 AC,Lag-2 AC,Lag-4 AC,Coefficient of variation,Skewness,Kurtosis,AIC fold,AIC hopf,AIC null,Coherence factor,Params fold,Params hopf,Params null,Smax
Chlorella,0.09,4.836641456233189,4.795099091194846,0.0415423650383433,0.07088772662079164,0.005025069785464091,0.7252979394452361,0.23075822331648216,-0.19192070015375082,0.014783379472963615,0.13057007872074103,0.1516239098010228,0.9986260785549629,0.001373921443681588,1.3553840620369432e-12,0.00035347187031883464,"{'sigma': 0.05588903486876199, 'lam': -0.9314090184263506}","{'sigma': 0.019132915786900906, 'mu': -0.18637679064215695, 'w0': 0.5506517409074186, 'delta': 2.8357316494975748e-11, 'psi': 0.2}",{'sigma': 0.034406478754370126},0.0007069437406376693
Brachionus,0.09,2.9437450693834935,2.967454388156579,-0.023709318773085464,0.026954194576141274,0.0007265286052484836,0.6891432632327449,0.35372855968513717,-0.03838847698078285,0.009083268039140604,-0.09078446260332132,0.1290624084996229,0.03355832464576351,0.9664416753542341,2.4463800273127056e-15,6.258919184002938e-05,"{'sigma': 0.018384597747315934, 'lam': -0.7516264322063839}","{'sigma': 0.00578371399173383, 'mu': -0.1283175798196836, 'w0': 0.3791153317221149, 'delta': 5.178102391312223e-10, 'psi': 0.2}",{'sigma': 0.013111359429450548},0.00012517838368005877
Chlorella,0.09999999999999999,4.878084492714009,4.9115924595022316,-0.03350796678822299,0.06704552434313586,0.004495102334446023,0.6605126856378785,0.05765135010709128,-0.25187884327116,0.013650467907561869,0.007829076955323552,0.07763611509735699,0.0028167288219377046,0.9971832711596605,1.8401767328344476e-11,0.0003570191591114501,"{'sigma': 0.05998968144035386, 'lam': -1.1844219681287764}","{'sigma': 0.024287896098950768, 'mu': -0.28549516702942324, 'w0': 0.8434977885501703, 'delta': 3.448485941248691e-11, 'psi': 0.2}",{'sigma': 0.031995152864855256},0.00047602554548193353
Brachionus,0.09999999999999999,3.1960011562011057,3.21069492808342,-0.014693771882314355,0.02396407160394018,0.000574276727838772,0.6149257026622476,0.2554488880807835,-0.05471222480325216,0.0074638234432182725,-0.02493518985495804,0.04717269697196564,0.8960041595923518,0.1039958404074766,1.7149213918957255e-13,3.99289284960221e-05,"{'sigma': 0.01743261171354856, 'lam': -0.8823358344266699}","{'sigma': 0.004971638667705447, 'mu': -0.13403935647202925, 'w0': 0.39602036685175673, 'delta': 8.11692935087649e-11, 'psi': 0.2}",{'sigma': 0.011469477619381807},7.98578569920442e-05
Chlorella,0.11,4.9934037686496,5.030161290697721,-0.03675752204812088,0.07342744774149458,0.005391590081829917,0.6320362410092558,-0.030820757782947995,-0.31366359092368473,0.014597427274918591,-0.08810174988740103,-0.07831521910050794,1.5526300392345528e-12,0.9999999999984475,1.1745475763001174e-17,0.0004001760316954223,"{'sigma': 0.07216581099472358, 'lam': -1.3578833402251047}","{'sigma': 0.029407153700202082, 'mu': -0.3076387152532589, 'w0': 0.9089210829171286, 'delta': 1.4222982791523009e-09, 'psi': 0.2}",{'sigma': 0.03531230670346123},0.0006669600528257039
Brachionus,0.11,3.466238191319951,3.438259604980198,0.027978586339753253,0.023892118541798596,0.0005708333284153563,0.6125143473161222,0.2270145875432347,-0.108025577381476,0.006948892898103525,-0.006907557014828252,0.00969300204838638,0.8793954434493508,0.12060455654113024,9.518903030299009e-12,4.0001913769218256e-05,"{'sigma': 0.018426617535763128, 'lam': -0.9574452071573876}","{'sigma': 0.0049715699910857225, 'mu': -0.13539545091579042, 'w0': 0.4000269589605427, 'delta': 1.476700983715773e-10, 'psi': 0.2}",{'sigma': 0.011477848969115552},8.000382753843651e-05
Chlorella,0.12,5.181239800486222,5.1495406389423275,0.031699161543894405,0.07807564203779518,0.00609580587961393,0.5991287766015343,-0.11806488010457926,-0.32986651862581856,0.015161664681775391,-0.035771022489524226,-0.3472037570614768,2.7783045055126295e-17,1.0,4.200969525314262e-21,0.0006110225512522755,"{'sigma': 0.08122273120481398, 'lam': -1.4784451855189338}","{'sigma': 0.03279535434871095, 'mu': -0.3187456012247003, 'w0': 0.9474713102480108, 'delta': 0.005734843989622762, 'psi': 0.2}",{'sigma': 0.037675178811149485},0.0008728893589318222
Brachionus,0.12,3.6187771532777093,3.651866859481473,-0.033089706203763836,0.023264304483365448,0.0005412278630947376,0.5644378983902255,0.19002301523032977,-0.10664356542019084,0.006370525042408156,0.019384953159814092,-0.1241477926453473,0.9999738276275573,2.617236907160391e-05,3.3712720043584134e-12,3.444570494991969e-05,"{'sigma': 0.018742076949327592, 'lam': -1.0279551415148784}","{'sigma': 0.005541584197501281, 'mu': -0.1719222965869589, 'w0': 0.5079458208991297, 'delta': 4.153100086057293e-11, 'psi': 0.2}",{'sigma': 0.011271648149041146},6.889140989983937e-05
Chlorella,0.13,5.285262655257563,5.270579395111629,0.014683260145933907,0.09594789496722743,0.009205998548642107,0.5397946325773737,-0.30638865546390404,-0.35094263615849025,0.018204435323367588,0.04224841108284727,-0.0003915035827569415,2.5512000308284237e-34,1.0,2.451007546117741e-35,0.0038745076778210364,"{'sigma': 0.11351036022611916, 'lam': -1.7923243549533974}","{'sigma': 0.02628004737595324, 'mu': -0.14844209747916115, 'w0': 1.044320885263771, 'delta': 0.6057475032723414, 'psi': 0.2}",{'sigma': 0.04644900121992438},0.0022140043873263063
Brachionus,0.13,3.823733192736682,3.850596609562529,-0.02686341682584681,0.022748188253099128,0.0005174800687984371,0.5237767661153045,0.017937566986684535,-0.09946296803364388,0.0059077050916804255,-0.017882353041146666,0.033238720230509715,0.9630262644023707,0.0369735467351361,1.8886249333786607e-07,0.0001054417816098063,"{'sigma': 0.021576370797503852, 'lam': -1.3318816015035455}","{'sigma': 0.008889930857073569, 'mu': -0.3412027242877973, 'w0': 1.0080862186457409, 'delta': 1.4455103780619538e-13, 'psi': 0.2}",{'sigma': 0.010959380466408807},6.025244663417503e-05
Chlorella,0.14,5.285855394797806,5.393928194311137,-0.10807279951333104,0.1370005700209547,0.018769156186066515,0.5120206631087262,-0.4160535911727827,-0.39979663657147446,0.02539903060243279,0.11199345796736351,-0.09056736801464708,5.630064076714799e-44,1.0,2.7090551373271426e-44,0.010556225507780844,"{'sigma': 0.17003458219301423, 'lam': -1.9506521031631863}","{'sigma': 0.0310261833250165, 'mu': -0.0988708977692152, 'w0': 1.045655627114119, 'delta': 0.753540757063452, 'psi': 0.2}",{'sigma': 0.06568734801068629},0.006032128861589054
