Dilution rate,Species,Sample,Variance,Lag-1 AC,Lag-2 AC,Lag-10 AC,AIC fold,AIC hopf,AIC null,Smax
0.04,Brachionus,1,2.582730966566823,0.34823069071029783,0.24629851651631807,-0.11496027536660551,0.9916418790788417,0.000996310135781394,0.007361810785376787,0.26459083649492754
0.04,Brachionus,2,2.849967180225477,0.4130731824583608,0.3694189106527966,-0.08634322290309655,0.000886084481156167,0.9991139147952419,7.236018242900247e-10,0.39574439128463546
0.04,Brachionus,3,2.316211006998028,0.29008904809149644,0.24496357513062691,-0.07435829626796753,0.9940806407437207,0.0007056025182303407,0.005213756738048944,0.15967902941261
0.04,Brachionus,4,2.3396721592584067,0.17309472008423413,0.32078947967912896,0.17212580136690092,0.013415178651363139,0.846757247932511,0.13982757341612592,0.23631946894578612
0.04,Brachionus,5,2.4774201897894503,0.22786114347571754,0.2830096641343349,0.0076418049676056365,0.03874573739299432,0.9612542206258928,4.198111286078865e-08,0.26306012756632
0.04,Brachionus,6,2.2385285206935035,0.39307984698426746,0.3494887779085972,-0.019606906909534736,8.801231421336784e-12,0.9999999999911879,1.0971954009134619e-14,0.2671211729169177
0.04,Brachionus,7,2.8118294905166454,0.5456705816496668,0.402973958728602,-0.3793601799722039,2.5487378023606167e-33,1.0,2.460118065273736e-39,0.5533450710973193
0.04,Brachionus,8,2.426126003276042,0.430937430853309,0.33545339263677826,-0.13994326457295087,0.9237730165471093,0.00908644139168832,0.06714054206120217,0.13327185673074282
0.04,Brachionus,9,2.8917502037304414,0.43817513589933466,0.3072928648608969,-0.11943064073611541,3.292638168821417e-29,1.0,9.70495830547618e-34,0.5023118925070332
0.04,Brachionus,10,2.6104233117968647,0.3677449473762991,0.3578567700999282,0.10638953786738399,1.4041321853099033e-16,0.9999999999999998,1.8724163326761374e-26,0.30305519200305336
0.04,Brachionus,11,2.6568021331191516,0.41952918154851815,0.4055065747488213,0.05089496979121265,0.9998700567423197,1.5489553985606287e-05,0.00011445370369471054,0.27545643536913184
0.04,Brachionus,12,2.672152041119501,0.44759958134952843,0.4105430425255644,-0.284637406795734,0.007034523985471085,0.9929654756145224,4.000063430526335e-10,0.3790406047632165
0.04,Brachionus,13,2.3802831903124733,0.2923162728551252,0.30851967650125,-0.023242715735372017,0.00013495238828061096,0.9998650470784048,5.333145678888984e-10,0.2089453475146095
0.04,Brachionus,14,2.898481001043182,0.42202697691596314,0.3669872517322321,-0.38330799677551736,2.936376619831876e-34,1.0,7.348011998733712e-38,0.7275686554745062
0.04,Brachionus,15,2.5887493660178253,0.3276501837156809,0.31964234838434524,-0.27784745292308266,1.2237838529407978e-08,0.99999998761742,1.4474138369645432e-10,0.3008298705387283
0.04,Brachionus,16,2.852149079033854,0.5485087527615884,0.41363082794469236,-0.40508592308924013,1.3598085329702825e-39,1.0,2.705509646637532e-47,0.6259975007095396
0.04,Brachionus,17,2.4800518582084337,0.41590282461147476,0.4203385692547841,-0.13997151795164098,5.531917763418298e-13,0.9999999999994469,2.5697289501629265e-20,0.3767691934463743
0.04,Brachionus,18,2.755477706656803,0.4375125433176925,0.2975636921894797,0.017876688775688477,1.0411273406707021e-38,1.0,1.56033753506628e-42,0.5606226246103138
0.04,Brachionus,19,2.5802778374773787,0.4565054493266268,0.3868410556199443,-0.12540892468345452,0.0005786075559284643,0.9994213924440557,1.595644292717278e-14,0.37246691701768925
