Dilution rate,Species,,Variance,Lag-1 AC,Lag-2 AC,Lag-10 AC,AIC fold,AIC hopf,AIC null,Smax
0.04,Brachionus,Lower,2.5528206082625244,0.3447346860563673,0.3303300273573041,-0.11980804579240897,0.2853711614766608,0.5389285632214209,0.004349029300815001,0.33612634354953763
0.04,Brachionus,Mean,2.5911708376575744,0.3604729775860842,0.3416932229931916,-0.09244593807587373,0.36767966844832256,0.6186802094184365,0.01364012213324088,0.3562669533857038
0.04,Brachionus,Upper,2.6314319169956693,0.3770531628424313,0.3516475966137519,-0.06497264461167859,0.45503356570420467,0.7112398349869489,0.02477187565994763,0.37845790923425937
0.04,Chlorella,Lower,0.01710033738472529,0.44055639399969276,0.295612420709189,-0.15446348480863445,0.11688233284034552,0.729339365965492,1.9142130696864007e-05,0.0025660503135798147
0.04,Chlorella,Mean,0.017442715895253254,0.45926067946631854,0.30826500106904997,-0.12822208585851166,0.183920175503186,0.8053922857616368,0.010687538735177173,0.002703526674678598
0.04,Chlorella,Upper,0.017807456337546768,0.4791143235419608,0.3210122272886879,-0.1013150349791452,0.2567601724343454,0.8758130508061023,0.027929713838518475,0.002853877460011427
0.07,Brachionus,Lower,8.865499856649658,-0.35339026443706506,0.1355520383872545,-0.06681856081977067,0.002745598070455568,0.7301523027875889,0.14541064685814256,0.6493913938384873
0.07,Brachionus,Mean,9.195917244805093,-0.33584460123157084,0.1542033854288435,-0.034298079834231124,0.006865910256763876,0.7898133442468837,0.2033207454963525,0.6958724908999193
0.07,Brachionus,Upper,9.552464409595803,-0.32096124588965164,0.17330579371559468,-0.004323735117382142,0.012715144488094354,0.8443665841950809,0.26646086495132837,0.7485413662496891
0.07,Chlorella,Lower,0.020311560247156142,-0.019414794330371906,-0.07637658333395521,0.02594693931511216,0.05208306845411397,0.49467987331215535,0.2798154105132843,0.0018209405194822624
0.07,Chlorella,Mean,0.020919228368270187,-0.005838607854673439,-0.06171270934019727,0.046239580681912716,0.08352066360653426,0.5686285331754619,0.34785080321800377,0.0019174020755835647
0.07,Chlorella,Upper,0.02156570029689199,0.007583444306594324,-0.04840550466372196,0.06524690155785694,0.12046728187666095,0.6489044106653606,0.42199575575552556,0.0020202451478554045
0.12,Brachionus,Lower,7.709970886106257,0.07258272487211627,0.05044078051801371,0.05115049100460681,0.24613483672085856,0.3692698547241899,0.1560394448700455,0.7141361844176133
0.12,Brachionus,Mean,7.966748011876096,0.09519732124182298,0.06415892055879346,0.06864998765438474,0.327921748240021,0.4555924411034285,0.21648581065655048,0.7492996657475594
0.12,Brachionus,Upper,8.250905676778755,0.11846442579212531,0.07663205303654215,0.08786232856578455,0.4111805992544134,0.5403786719236674,0.2772325207892639,0.7838136914107321
0.12,Chlorella,Lower,0.021353847886838855,0.4094715648893796,0.24165372230693116,0.013656375352826013,0.5628639999305151,0.2333912195642335,0.015078221121688842,0.0023678670111515468
0.12,Chlorella,Mean,0.022705499320840334,0.43163985006846695,0.2617197748177454,0.036800822718723286,0.6468245118222518,0.31065275110537593,0.042522737072372266,0.0025975805415121254
0.12,Chlorella,Upper,0.024088042463440328,0.45394266176859627,0.279927164909762,0.058799049888601906,0.7350616340813348,0.39853853479482654,0.07347996060690604,0.00281995779207671
0.32,Brachionus,Lower,26.506479711051632,-0.08612245261868048,-0.050015115323402345,-0.1168756631591492,0.10515533108255565,0.30998766486968576,0.38537038936779233,2.036792547486932
0.32,Brachionus,Mean,28.208445559348824,-0.06600408448353141,-0.028053046185474963,-0.09204495385608809,0.16363749108079628,0.3778739889082234,0.4584885200109804,2.2305503840803746
0.32,Brachionus,Upper,30.01230473584655,-0.04493421512807559,-0.006362034134684482,-0.0641986171848972,0.2225950286481209,0.44889188628063037,0.5304123434579066,2.426200479262317
0.32,Chlorella,Lower,0.01739186657408599,0.25037268908379173,-0.020631692569073882,-0.06418846927794575,0.18250355526089795,0.4756240640570201,0.1365490171781001,0.002034824671458875
0.32,Chlorella,Mean,0.017763506343935757,0.2649452435712135,-0.006997223402066677,-0.043858437521878096,0.24400515725910893,0.5641743131575511,0.19182052958333995,0.002194201347268735
0.32,Chlorella,Upper,0.018183522475036053,0.27690758457257925,0.008284165979826843,-0.022430635124022266,0.30971198670732636,0.6552270699152409,0.24341679264559152,0.002351882822422312
