Dilution rate,Species,Sample,Variance,Lag-1 AC,Lag-2 AC,Lag-10 AC,AIC fold,AIC hopf,AIC null,Smax
0.04,Brachionus,1,2.8435528609396323,0.3990599200353037,0.4004034904542317,-0.08652389444369395,5.582728378022341e-19,1.0,1.159700761639939e-23,0.5577665860212051
0.04,Brachionus,2,2.577750798920401,0.34724583499267764,0.38639487681937995,-0.23273173362987384,3.1639473722768356e-06,0.9999968356149802,4.3764733706214664e-10,0.3677904352240079
0.04,Brachionus,3,2.4792662983529064,0.35237499194606353,0.32923831394517084,-0.24411955777705305,5.214714804320346e-16,0.9999999999999996,1.70973522235196e-21,0.5445594319137689
0.04,Brachionus,4,2.8862463875985127,0.4287663916675488,0.45762806247703236,-0.09160879709330612,2.008773933997817e-06,0.9999979912260661,3.538475862116384e-19,0.31689665414022367
0.04,Brachionus,5,3.104203297109612,0.4761931831875076,0.36325064510185334,-0.3191442835862708,0.9992503179519504,0.0007495958892997377,8.615874984576974e-08,0.24852690435453373
0.04,Brachionus,6,2.6755724043968123,0.28937209747895143,0.27905961459691164,0.0916767278272567,0.06607759682206368,0.9180449927661191,0.015877410411817432,0.32334572625777896
0.04,Brachionus,7,2.7585620788347502,0.3388309998468787,0.3578905398993183,-0.07003446974480498,0.31532708633156425,0.6846727781059746,1.355624610716032e-07,0.3372678958051023
0.04,Brachionus,8,2.4367125454752263,0.2475163159484522,0.31880173941854606,-0.2410783296755239,0.011491726256169645,0.9884720907749095,3.6182968920816796e-05,0.22145988695612737
0.04,Brachionus,9,2.2497908422223927,0.40446112694447894,0.35616550695528104,-0.17906235390502337,0.36725261913213364,0.6327355391286913,1.184173917510242e-05,0.23587644154850254
0.04,Brachionus,10,2.4956837905862725,0.43798733149552327,0.3960024136674269,-0.34805248806126954,3.561380758604002e-36,1.0,4.907452975359728e-40,0.5559883401467741
0.04,Brachionus,11,2.5234021836642753,0.3656290139291947,0.347219435384713,0.017487844190972983,2.4759613211736808e-18,1.0,8.14416029129347e-25,0.31282828528723766
0.04,Brachionus,12,2.5860126793849147,0.49934792302505715,0.43650191504468444,-0.32465625364646356,6.584805324353431e-24,1.0,3.7115174125602305e-29,0.4377267691851426
0.04,Brachionus,13,2.6624766278961087,0.4280231425370978,0.34997971773664494,-0.3095276647844698,5.267015937872448e-24,1.0,4.420357339490537e-27,0.5485758104821075
0.04,Brachionus,14,2.792034509579004,0.454298929103858,0.45052594341286467,-0.10278128510979934,4.751714440466324e-06,0.9999952482347879,5.077156398215248e-11,0.4131376294511152
0.04,Brachionus,15,2.453277943415261,0.21986286605693853,0.3332343833840827,-0.043346843021673756,0.0339282984375009,0.9660681399796118,3.561582887266093e-06,0.28044933975346004
0.04,Brachionus,16,2.4425542585133835,0.32712286698391513,0.40339591149968496,-0.2859088422261696,4.528192965624681e-35,1.0,2.369900645835446e-41,0.4417276118192242
0.04,Brachionus,17,2.684500365261261,0.4333568481293729,0.35173097133810055,-0.23408391990464444,1.5674778486682395e-27,1.0,6.513785894947764e-29,0.469314475863492
0.04,Brachionus,18,2.6014533419207333,0.3923891823376252,0.36619734754222366,-0.09832345618777888,1.8013794119934128e-29,1.0,3.25060947457427e-33,0.4836437698256465
0.04,Brachionus,19,2.7094862344565116,0.44689970903311854,0.4012140772338817,0.13060796774294134,0.8721611069455808,0.12781796796243355,2.092509198571682e-05,0.23646355469719296
0.04,Brachionus,20,2.610437491088116,0.39345598524969977,0.38795126823672194,-0.24147220232448324,4.889817184652676e-13,0.9999999999995111,3.459540838599829e-17,0.3458745049927732
0.04,Brachionus,21,2.5116375045949866,0.4687464823790212,0.40267990261173536,-0.2738444911453187,0.022654893237974653,0.9773451067595111,2.514411234764134e-12,0.273785998761942
0.04,Brachionus,22,2.5644610098183667,0.3613597187438177,0.42422578253746296,0.08168139658300023,0.9999999998588125,9.6255767012705e-11,4.493184256781369e-11,0.26727984154571277
0.04,Brachionus,23,2.450640173284124,0.3364793817989129,0.37043190109394797,-0.06010176197641232,0.9237333805351305,0.057821274953224824,0.018445344511644757,0.22531538415392072
0.04,Brachionus,24,2.413456474545146,0.46482468921875625,0.3454968185040202,-0.30295689604808357,2.8398073371173e-15,0.9999999999999971,7.098286342984737e-20,0.3324069068023996
