Realisation number,Variable,index,Lag-3 AC,Lag-6 AC,Smax,Standard deviation,Lag-1 AC,Coefficient of variation,Variance,Skewness,Kurtosis
8,Chlorella,0,0.23344059255661467,0.3733228097868982,0.47368421052631576,-0.11007224819379517,-0.13787869588974563,-0.06538765102301015,-0.11007224819379517,0.5846032420618057,0.5422257300710339
8,Brachionus,0,0.419221662315585,0.39967215105336656,0.52046783625731,0.07255175763463058,0.30581021188755997,0.045595288689211345,0.07255175763463058,-0.4890413453949366,-0.28711067937587276
9,Chlorella,0,0.6952219051666566,-0.20709125129014633,0.7777777777777777,0.5935887317102788,0.7148928419646652,0.619209519762006,0.5935887317102788,0.28006799830004253,0.39517940622913
9,Brachionus,0,0.5028838564750168,-0.030295671179649087,0.8362573099415204,0.7315281403679195,0.6759152449760186,0.7209641187541741,0.7315281403679195,-0.2948819136664441,0.43209276910934374
10,Chlorella,0,0.144314249286625,-0.7571489284196468,0.14619883040935672,0.1740635055552183,0.23465484791451643,0.1989557403922045,0.1740635055552183,0.049480905834497,0.49875538825815074
10,Brachionus,0,-0.049602331370287175,-0.689272053912938,0.13450292397660818,0.1369072916034242,0.11177220569485764,0.13508590856657157,0.1369072916034242,-0.2571185720356991,0.5524254750774089
11,Chlorella,0,-0.35875174549207706,-0.76625584360391,-0.017543859649122806,0.11395786533908082,-0.14601420678768745,0.1375144192823751,0.11395786533908082,-0.5705178799101452,0.38400825693643376
11,Brachionus,0,-0.4546779187663166,-0.751077651630138,-0.1695906432748538,-0.05640216137453707,-0.26088276364519464,-0.046930969582903284,-0.05640216137453707,0.45079230162103096,0.0771659279946573
12,Chlorella,0,-0.22579078380183357,0.6245522433367737,-0.22807017543859648,0.014388925991135938,-0.4790844514601421,0.17272782466152634,0.014388925991135938,-0.8454252929391052,0.42517151356930366
12,Brachionus,0,0.15147835589824543,0.6365733713800014,-0.04093567251461988,0.12209337623702265,-0.2914819986643191,0.00018213830368526501,0.12209337623702265,0.774512780037642,0.2947604881306539
13,Chlorella,0,-0.6702082447938802,-0.11917916337805842,-0.7660818713450293,-0.8007406957683202,-0.7753627587881732,-0.8194402282800074,-0.8007406957683202,-0.6448303078137333,-0.39663651265861216
13,Brachionus,0,-0.617145285653573,-0.261854167931516,-0.8128654970760234,-0.8032906320199138,-0.7848339505798071,-0.7939408657640703,-0.8032906320199138,0.45613502519579874,-0.27326816829579265
14,Chlorella,0,0.38242972497116146,0.19276303806690548,0.6959064327485379,0.7088215651751565,0.39955072551757637,0.7068787566025135,0.7088215651751565,-0.8228401432821323,-0.5916459231376359
14,Brachionus,0,0.42675004553457596,0.2834679133021675,0.6725146198830408,0.6833222026592194,0.522311942201445,0.6709367980086213,0.6833222026592194,0.7541132900248924,-0.176613441806812
15,Chlorella,0,-0.46645619573796376,0.19907716592799465,-0.6491228070175439,-0.6008742638576894,-0.4827272175338474,-0.6335377329852468,-0.6008742638576894,0.6278307328031086,-0.004189180984761095
15,Brachionus,0,-0.497541132900249,-0.22785501791026655,-0.6842105263157894,-0.6405804140610771,-0.5404043470341813,-0.6128953919009168,-0.6405804140610771,-0.5011838989739543,0.49365551575496336
16,Chlorella,0,-0.015117479205876997,-0.6286807115536398,-0.07602339181286549,-0.07364458745674216,0.058587821018760255,-0.10023677979479086,-0.07364458745674216,-0.5423471556068242,-0.5960172424260823
16,Brachionus,0,-0.21049116629227127,-0.5193977293424807,-0.14619883040935672,-0.01244611741849311,-0.01827454313642159,0.02009592617327424,-0.01244611741849311,0.6704510958654606,-0.64944447817376
17,Chlorella,0,0.7581203327059681,-0.7800983546839901,0.6959064327485379,0.6166595835104124,0.7871410357598203,0.5989314552850465,0.6166595835104124,0.26003278489466336,0.5056766437981909
17,Brachionus,0,0.05093801226397912,-0.7581203327059681,0.6725146198830408,0.5350616234594135,0.6286807115536398,0.551211219719507,0.5350616234594135,-0.44071398215044627,-0.0004249893752656184
18,Chlorella,0,-0.5605609859753506,0.2313763584481817,-0.6257309941520467,-0.53263311274361,-0.4913484305749499,-0.521583388986704,-0.53263311274361,0.2612470402525651,-0.5418614534636634
18,Brachionus,0,-0.42262157731771,-0.35450185173942084,-0.6023391812865496,-0.597231497783984,-0.3440592556614656,-0.6141096472588186,-0.597231497783984,-0.19045595288689215,-0.5888531358144619
19,Chlorella,0,-0.22943354987553885,-0.7122214801772814,-0.3567251461988304,-0.544289964179467,-0.2131625280796552,-0.48005585574646353,-0.544289964179467,0.34818772387833163,-0.27496812579685515
19,Brachionus,0,-0.49013417521704816,-0.5762248800922835,-0.4152046783625731,-0.38947240604699174,-0.4792058769959323,-0.4416853864367677,-0.38947240604699174,-0.24740452917248498,-0.21838382611863277
20,Chlorella,0,0.2807965515147836,0.8557464634812703,0.3333333333333333,0.5363973043531055,0.21206969825754357,0.516119239876146,0.5363973043531055,-0.1599781434035578,0.24303320988403865
20,Brachionus,0,0.6484730738874386,0.8697104000971405,0.43859649122807015,0.419221662315585,0.559346730617449,0.44095683322202667,0.419221662315585,-0.5095622609434765,0.4588063869831826
21,Chlorella,0,-0.49729828182866864,-0.14042863214133933,-0.5087719298245613,-0.4658490680590128,-0.36931576710582237,-0.46487766377269146,-0.4658490680590128,-0.4364640883977901,-0.2911177220569486
21,Brachionus,0,-0.6030599235019125,-0.06271628923562625,-0.52046783625731,-0.5302046020278065,-0.3961508105154514,-0.521583388986704,-0.5302046020278065,0.05688786351769778,0.03041709671543926
22,Chlorella,0,-0.23696193309452981,0.625402222087305,-0.52046783625731,-0.6283164349462692,-0.5431971343573554,-0.691336288021371,-0.6283164349462692,0.6793151599781434,0.6326877542347157
22,Brachionus,0,0.0697589703114565,0.6419160949547691,-0.47368421052631576,-0.5983243276060956,-0.43779976929148207,-0.5433185598931456,-0.5983243276060956,-0.20757695343330707,0.5349401979236235
23,Chlorella,0,-0.1083722906927327,0.6794365855139337,-0.48538011695906425,-0.2923319774148504,-0.3082387226033635,-0.31758848885920715,-0.2923319774148504,0.14030720660554916,-0.6217594560135997
23,Brachionus,0,0.5345759213162529,0.7691700564628743,-0.4502923976608187,-0.30192459474227434,0.219233804869164,-0.2909962965211584,-0.30192459474227434,0.5612895391900917,-0.5350616234594135
24,Chlorella,0,-0.6443446056705726,0.41740027927873236,-0.21637426900584794,0.30896727581810457,-0.5448970918584178,0.2578471252504402,0.30896727581810457,0.6679011596138669,0.350494809058345
24,Brachionus,0,-0.6094954768987919,0.034909841539675794,-0.3567251461988304,0.0333313095744035,-0.5557039645437436,0.12488616356019672,0.0333313095744035,-0.5710035820533059,0.49511262218444546
25,Chlorella,0,-0.4806629834254144,-0.7002003521340538,-0.871345029239766,-0.8745674215287477,-0.611681136543015,-0.8771173577803413,-0.8745674215287477,0.38000121425535793,0.6442231801347824
25,Brachionus,0,-0.6147167749377694,-0.6309877967336531,-0.8830409356725145,-0.8772387833161315,-0.7715985671786778,-0.8831886345698501,-0.8772387833161315,-0.3478234472709611,0.5472041770384313
26,Chlorella,0,-0.17782769716471375,-0.2452188695282618,0.7894736842105262,0.8009835468399006,0.31916702082447945,0.7939408657640703,0.8009835468399006,-0.5922530508165869,-0.7502276728796066
26,Brachionus,0,-0.18389897395422258,-0.3579017667415458,0.7894736842105262,0.8070548236294093,0.3452735110193674,0.8086333555946816,0.8070548236294093,0.3689514904984519,-0.751199077165928
27,Chlorella,0,0.5128407504098113,0.8064476959504584,0.40350877192982454,0.28006799830004253,0.2928176795580111,0.27654665776212745,0.28006799830004253,-0.5718535608038371,-0.2990103818833101
27,Brachionus,0,0.7509562260943476,0.8446967397243641,0.6140350877192983,0.34296642583935405,0.3781798312185053,0.3419950215530327,0.34296642583935405,0.731163863760549,-0.41278610891870565
28,Chlorella,0,0.606824115111408,0.2571185720356991,0.4502923976608187,-0.3895938315827819,0.48260579199805725,-0.3968793637301925,-0.3895938315827819,-0.4394997267925445,-0.20041284682168664
28,Brachionus,0,0.6539372229979966,0.7199927144678527,0.4619883040935673,0.12270050391597354,0.40234351284075043,0.12937890838443328,0.12270050391597354,0.2331977414850343,-0.2291906988039585
29,Chlorella,0,0.12780037641916098,-0.28492501973164963,0.4619883040935673,0.4487280675125979,0.4512780037641917,0.42954283285775,0.4487280675125979,0.8484609313338596,0.7148928419646652
29,Brachionus,0,-0.18037763341630747,-0.4140003642766074,0.08771929824561403,0.4177645558861029,0.16762795215833892,0.4323356201809241,0.4177645558861029,-0.8457895695464757,0.6346305628073584
30,Chlorella,0,0.33519519154878274,0.0047963086637119795,-0.18128654970760236,-0.23416914577135575,-0.01026045777426993,-0.2960961690243459,-0.23416914577135575,-0.3852225122943355,0.7173213526804688
30,Brachionus,0,0.11432214194645135,-0.2093983364701597,-0.27485380116959063,-0.25456863578410543,0.07388743852832252,-0.23210491166292274,-0.25456863578410543,-0.35875174549207706,0.8037763341630746
31,Chlorella,0,-0.34163074494566215,0.3806083419343088,-0.4269005847953216,-0.2534758059619938,-0.36773723514055007,-0.21826240058284258,-0.2534758059619938,0.4000364276607371,0.6790723089065632
31,Brachionus,0,-0.309938680104426,0.30593163742335017,-0.4269005847953216,-0.3088458502823144,-0.30338170117175645,-0.32742395725821144,-0.3088458502823144,-0.4292999817861697,0.4914698561107401
32,Chlorella,0,-0.6092526258272116,0.2166838686175703,-0.49707602339181284,-0.30180316920648415,-0.5859389229554977,-0.31443142492866255,-0.30180316920648415,0.6120454131503856,-0.38886527836804086
