Dilution rate,Species,Sample,Variance,Lag-1 AC,Lag-2 AC,Lag-10 AC,AIC fold,AIC hopf,AIC null,Smax
0.04,Brachionus,1,2.506799072178284,0.4450435495461136,0.3746337973460276,-0.3614242234208355,4.8242665853482545e-33,1.0,1.0966440967937453e-36,0.5014081132098417
0.04,Brachionus,2,2.6244431278130667,0.33480994117482327,0.36688714887185325,0.12232137470202661,0.9999999999999969,3.638366949044919e-16,2.6884239073948256e-15,0.2669221431559592
0.04,Brachionus,3,2.397623511099191,0.3500720456639328,0.27824149371091444,-0.12754669648369274,0.4389811904715957,0.06687489212421185,0.49414391740419233,0.14166271964458593
0.04,Brachionus,4,2.6244771069709847,0.41381343117469194,0.3657648066478523,-0.3357710258067947,2.783480035290109e-28,1.0,1.3358086355485432e-32,0.6187263701664363
0.04,Brachionus,5,2.642335689409249,0.4008980007550915,0.33798777470212515,-0.21130949234976593,4.010190869753155e-08,0.9999999598980867,4.59887582509123e-15,0.26942142163515104
0.04,Brachionus,6,2.582531569690177,0.37324178723864254,0.33183094410597147,-0.01821127714376854,3.920140615363172e-07,0.9999996079843352,1.6032596007425505e-12,0.25785371811136504
0.04,Brachionus,7,2.929928102007548,0.4297911742076328,0.4146611563808211,-0.09217519924764427,5.419446697277288e-21,1.0,7.317622524581852e-26,0.4509125586641873
0.04,Brachionus,8,2.677395557438081,0.3934067488580968,0.3245159779316964,-0.09024368202676265,0.48451212785200226,0.5154878556208992,1.6527098619744895e-08,0.2701587544486247
0.04,Brachionus,9,2.534366687996372,0.3633035818988203,0.43214020422952165,-0.3043263196463071,2.0710321955943384e-40,1.0,2.883486252629186e-47,0.5195035239753552
0.04,Brachionus,10,2.4850973192791312,0.2888087570350745,0.35713502455771917,-0.027733485691220434,1.7593567078903958e-16,0.9999999999999998,1.4910195393695595e-21,0.3751475843863709
0.04,Brachionus,11,2.609704365130045,0.3189839342259467,0.33043480224303967,0.01349923587554905,0.9999988333588018,1.1414220623622832e-06,2.521913583192394e-08,0.24681343037989778
0.04,Brachionus,12,2.331326095755594,0.35200671751836066,0.3572643181055418,0.049635810755647256,0.9999999999999984,1.6578934996429753e-15,3.611908387423744e-17,0.20950609729463573
0.04,Brachionus,13,2.4938805019834613,0.43323781103836556,0.3132570391558966,-0.22360363393195123,0.40236226021701915,0.5976351895921996,2.550190781326381e-06,0.29504323609410804
0.04,Brachionus,14,2.419896293479926,0.2805391205913313,0.3557535345736546,0.1310148527786529,1.0864175380133489e-11,0.9999999999879683,1.1674692063258795e-12,0.351906299353718
0.04,Brachionus,15,2.8255379948053427,0.44127852655072614,0.38472087552129725,0.09609802435575125,1.6698305094171285e-06,0.9999983270147661,3.154724564398449e-09,0.23280840491204255
0.04,Brachionus,16,2.630444472282692,0.23517748574668,0.32337997704165794,-0.08389807909205473,0.9955280613390942,0.001295292378797725,0.0031766462821080613,0.2593457389412418
0.04,Brachionus,17,2.1987376638123877,0.32349841914245314,0.2413603350031093,-0.09707460094779623,0.9893404202736299,0.006239836563827839,0.0044197431625422,0.16947176291335528
0.04,Brachionus,18,2.8139598818155447,0.3402971670542753,0.3337221138186287,-0.02004913586014532,8.155232377991031e-14,0.9999999999999185,6.593647532944037e-20,0.299316955906801
0.04,Brachionus,19,2.530146264934375,0.25984760062557577,0.3461408124189531,0.13151085020421943,0.9971506974952067,0.002849302504493346,3.0007363894520805e-13,0.2659863080306718
0.04,Brachionus,20,2.648242743627779,0.4076502571781864,0.2677452770681503,-0.27203045431229894,3.5721922015084194e-05,0.9999641761305995,1.0194738522256974e-07,0.31375328436940814
0.04,Brachionus,21,2.442954201105497,0.37418362577460434,0.3088710762999371,-0.2900713898152338,2.7507650063671154e-23,1.0,1.2718908049961521e-25,0.48168364145804166
0.04,Brachionus,22,2.4399687339537954,0.17767531128696448,0.262579797174988,0.07730320499987141,0.9594025117569315,0.011474367421425338,0.0291231208216431,0.25709911470570446
0.04,Brachionus,23,2.5653369182697623,0.3605514901496222,0.3225390337137828,-0.10685810241390627,0.9023395912978037,0.060439244750487085,0.037221163951709206,0.24526593729540608
0.04,Brachionus,24,2.6909407008410327,0.3884087204033109,0.3371918480433647,0.042827740866726416,0.9993351081654926,7.925674242932643e-05,0.0005856350920779501,0.1987278382490527
0.04,Brachionus,25,2.445595783861914,0.3164625612233079,0.3332197297947437,-0.1471118002771475,5.274996023334746e-16,0.9999999999999993,3.07524848926449e-16,0.37386781162994065
0.04,Brachionus,26,2.543152150286732,0.36461562720111546,0.3247573040228376,-0.11952683596547913,2.1500408717748398e-13,0.9999999999997236,6.156427087822627e-14,0.3961356016550445
0.04,Brachionus,27,2.378793371791636,0.34943449884032596,0.38308863252776354,-0.10951595619698463,5.546985844933929e-06,0.9999944530141086,4.6414316092391705e-14,0.35893436773667786
0.04,Brachionus,28,2.5787696701601894,0.3748409277738264,0.3218918954672409,-0.2668458198656004,3.405941142262319e-24,1.0,6.094786494634458e-30,0.44539914403874575
0.04,Brachionus,29,2.5858751672923543,0.3273433682142563,0.3508623982368345,-0.08615752697621225,3.896285905682176e-06,0.9999961037135908,5.034009175674568e-13,0.34542631969478654
0.04,Brachionus,30,2.4654366691124094,0.2680048508694678,0.3038660188092354,0.13050372513668876,0.9999999889163925,1.1038943081009368e-08,4.466450239565763e-11,0.25536659953930335
0.04,Brachionus,31,2.5032025062082903,0.41439345793188653,0.43215329857722395,-0.022818817695472393,0.0006404879901442656,0.9993595120098557,2.205576318848068e-23,0.34191397343928714
