Delta,State variable,Smoothing,Residuals,Standard deviation,Variance,Lag-1 AC,Lag-2 AC,Lag-3 AC,Lag-6 AC,Coefficient of variation,Skewness,Kurtosis,AIC fold,AIC hopf,AIC null,Coherence factor,Params fold,Params hopf,Params null,Smax
0.01,2.0961196377749927,2.1425244173559124,-0.04640477958091971,0.6720160037617148,0.4516055093118651,0.9777055356338927,0.9332492701307369,0.8675141259005827,0.5732216600013161,0.3136419011209888,0.5842121685041537,0.1077736479011484,2.7886733027083368e-14,0.999999999999972,1.8481185068737595e-27,0.0,"{'sigma': 0.25617856908905445, 'lam': -0.25113607710419705}","{'sigma': 0.1138655440082279, 'mu': -0.06566388158982428, 'w0': 0.19400447118977293, 'delta': 1.4239720513842258e-12, 'psi': 0.2}",{'sigma': 0.30405751768417905},0.1853068231235438
0.02,3.7052064240980487,3.979135944134662,-0.2739295200366132,0.26648649006739794,0.07101504938844139,0.917220303087833,0.8173422413889244,0.7036156111630704,0.29928135547522783,0.06697010916473739,0.1148715307384323,0.31234134086391424,1.973273037482473e-30,1.0,2.4418115638840325e-43,0.013913588274258443,"{'sigma': 0.11742538415403135, 'lam': -0.30556856634016816}","{'sigma': 0.05130268048517839, 'mu': -0.0710828404849515, 'w0': 0.21001482923295514, 'delta': 1.6986412276764895e-13, 'psi': 0.2}",{'sigma': 0.12957250902338377},0.027827176548516887
0.03,6.318719906649197,5.804090445157504,0.5146294614916931,0.24109253663820224,0.058125611222642884,0.896137832301879,0.7653041858970625,0.6181558990733809,0.11993903674462238,0.04153832303900362,0.0809162133078324,-0.18474265386576286,2.593573903386215e-43,1.0,3.2625767426744696e-56,0.009938044680372963,"{'sigma': 0.1159091705022525, 'lam': -0.35110452282737414}","{'sigma': 0.04911930707724865, 'mu': -0.07583702318634256, 'w0': 0.22406110061797344, 'delta': 1.5132339825640884e-12, 'psi': 0.2}",{'sigma': 0.11954517203438879},0.019876089360745926
0.04,7.5631732322621765,7.531358885163752,0.031814347098424456,0.18872004350705907,0.035615254821306265,0.8460195986285359,0.6642466768203081,0.4713770574516594,-0.029307417885148193,0.02505795449614542,0.04604643605421555,0.0009466988569641507,5.626569032857848e-20,1.0,3.892847917980654e-33,0.004437216282557925,"{'sigma': 0.09870132523466926, 'lam': -0.4335224384925791}","{'sigma': 0.03685192842483431, 'mu': -0.08061661754157434, 'w0': 0.23818245094571294, 'delta': 8.024469977385706e-12, 'psi': 0.2}",{'sigma': 0.0925266187594741},0.00887443256511585
0.05,9.34599407674545,9.167302656627452,0.17869142011799788,0.1749113488602339,0.030593979960106446,0.814614175501506,0.6048050480094487,0.3926488975717193,-0.09302285970855001,0.019079915627596034,0.14364948970582028,-0.11119603742799554,1.280371755371511e-10,0.9999999998719629,1.6543688215935e-23,0.0035871166557064457,"{'sigma': 0.09735496486327308, 'lam': -0.49955715643004783}","{'sigma': 0.03275275390216548, 'mu': -0.08358220805045224, 'w0': 0.2469443122628541, 'delta': 9.3294705294511e-11, 'psi': 0.2}",{'sigma': 0.08528153025326082},0.0071742333114128915
0.06000000000000001,10.666996186576279,10.712437651106178,-0.04544146452989928,0.16713721988767163,0.0279348502717799,0.8020742264644951,0.5875902217612707,0.37985936383304003,-0.11484092682323538,0.015602162933132527,0.0566784983502655,-0.12825804380166095,1.6809639089117118e-13,0.9999999999998319,4.607760065463847e-25,0.003469409047911487,"{'sigma': 0.09363836356925814, 'lam': -0.5056743290363963}","{'sigma': 0.03166120916985582, 'mu': -0.08505674579380451, 'w0': 0.25130084624972054, 'delta': 3.477622634306954e-10, 'psi': 0.2}",{'sigma': 0.08151665210934268},0.006938818095822974
0.06999999999999999,12.07319052017735,12.170695636096333,-0.09750511591898281,0.1566527276533995,0.024540077081250156,0.7631767099295234,0.5007640331943369,0.24767935485721487,-0.20443786702169625,0.012871288396858879,0.054391191039177916,-0.14853805585277863,5.288960366559571e-11,0.9999999999471103,3.2193708145481424e-22,0.0027177193016991084,"{'sigma': 0.09676832751578547, 'lam': -0.6155413461023591}","{'sigma': 0.034907289323942825, 'mu': -0.12225606500885089, 'w0': 0.36120653649621504, 'delta': 5.291767024573346e-12, 'psi': 0.2}",{'sigma': 0.07599712163253543},0.005435438603398217
0.08,13.603405282304898,13.544334734361792,0.05907054794310618,0.15259416296964615,0.02328497857240693,0.7656279546342539,0.5052049946514954,0.27110291610151194,-0.15736977997017684,0.011266273639721078,0.04222760502903606,-0.05666247367390541,0.0009287968472605988,0.9990712031527395,9.896121451215612e-17,0.002407659783453352,"{'sigma': 0.09030241569546897, 'lam': -0.5754442736408647}","{'sigma': 0.03322280888862017, 'mu': -0.12138407635602322, 'w0': 0.35863023898102225, 'delta': 4.3308023833787956e-11, 'psi': 0.2}",{'sigma': 0.07405221649592106},0.004815319566906704
0.09,14.718725346917465,14.837271940782932,-0.11854659386546729,0.13477097288070752,0.018163215131212402,0.689143263232748,0.3537285596851486,0.10690256243967361,-0.18938365506670216,0.009083268039140691,-0.09078446260330307,0.12906240849968822,0.03355832962913469,0.966441670370863,2.4463799030472412e-15,0.0015647297960007726,"{'sigma': 0.09193226737077421, 'lam': -0.7517271024212828}","{'sigma': 0.028918559033022095, 'mu': -0.12831752080079295, 'w0': 0.37911515685820923, 'delta': 2.5696111904949248e-11, 'psi': 0.2}",{'sigma': 0.06555679656519282},0.0031294595920015452
0.1,15.980005781005527,16.053474640417107,-0.07346885941158021,0.11982035801970137,0.014356918195969414,0.6149257026622563,0.2554488880807869,0.027837420121113687,-0.12891668182330274,0.0074638234432182985,-0.024935189854953434,0.0471726969719619,0.8960041578379652,0.10399584216186349,1.7149213885288235e-13,0.0009982232124005582,"{'sigma': 0.08716305845011152, 'lam': -0.8823358326802673}","{'sigma': 0.024858158816225773, 'mu': -0.13403907336640142, 'w0': 0.3960195303480644, 'delta': 1.5352608073726515e-11, 'psi': 0.2}",{'sigma': 0.05734738764717728},0.0019964464248011164
