Delta,State variable,Smoothing,Residuals,Standard deviation,Variance,Lag-1 AC,Lag-2 AC,Lag-3 AC,Lag-6 AC,Coefficient of variation,Skewness,Kurtosis,AIC fold,AIC hopf,AIC null,Coherence factor,Params fold,Params hopf,Params null,Smax
0.01,0.2306641758642936,0.19862751343079882,0.03203666243349479,0.05414875854974524,0.0029320880524786085,0.9870509275233098,0.9491570512597532,0.8882230352266122,0.5953091590224254,0.27261424098216674,0.3305483642702342,-0.5506269809268791,2.1553561397396655e-14,0.9999999999999785,3.334683497269385e-27,0.0,"{'sigma': 0.02063049194597174, 'lam': -0.24789408324510243}","{'sigma': 0.009139871720939441, 'mu': -0.06505612327894528, 'w0': 0.1922088443998131, 'delta': 7.44773132055343e-11, 'psi': 0.2}",{'sigma': 0.02447362482684399},0.0012387053359327886
0.02,0.21857742746539946,0.20092076196782216,0.0176566654975773,0.013734450688877516,0.0001886351357252081,0.9739271985241753,0.904651129959084,0.8021930289490546,0.379691825806893,0.06835746606789636,0.2718272966392683,0.48093852879442817,1.3786623452099625e-33,1.0,8.235042531300242e-45,4.1113199601354675e-05,"{'sigma': 0.006065830691860735, 'lam': -0.29674172814669264}","{'sigma': 0.002678436257026906, 'mu': -0.06975600391376613, 'w0': 0.20609467995578934, 'delta': 1.4326118069618587e-10, 'psi': 0.2}",{'sigma': 0.006596000735319543},8.222639920270935e-05
0.03,0.19337965347643796,0.20621703614767437,-0.012837382671236408,0.009362486715180305,8.76561574919277e-05,0.957162092679523,0.850135511229206,0.7017548323679077,0.1624979457613939,0.0454012185429605,0.07957638585211689,-0.19426594305042041,1.3222711326074107e-36,1.0,3.487555187579794e-49,1.6607503608451438e-05,"{'sigma': 0.004515264673172955, 'lam': -0.3342841060852524}","{'sigma': 0.0019767645017489954, 'mu': -0.07521773533278386, 'w0': 0.22223140966432622, 'delta': 3.831823747191265e-11, 'psi': 0.2}",{'sigma': 0.004658864096839049},3.3215007216902877e-05
0.04,0.20848073854028604,0.21156475580782808,-0.0030840172675420385,0.006048662909084877,3.658632298773912e-05,0.9257438512715281,0.7557998202408115,0.5468258696555433,-0.02162317284651776,0.028590139643487333,0.04707607716291599,-0.10566664654571675,1.2739544745184827e-24,1.0,2.1086798225242644e-37,5.109974991002011e-06,"{'sigma': 0.00317579534360802, 'lam': -0.41111255166577143}","{'sigma': 0.0012390115113054545, 'mu': -0.08022629034068074, 'w0': 0.23702922605553492, 'delta': 1.3953282973488967e-12, 'psi': 0.2}",{'sigma': 0.0029776045007687615},1.0219949982004021e-05
0.05,0.2141290691973957,0.2170509667940249,-0.002921897596629225,0.004961282809734256,2.461432711816464e-05,0.8980335545979471,0.6815153615282944,0.4411069812465462,-0.10808526194546972,0.022857689715944877,-0.07172479611030438,-0.13416853601603984,1.3359273517529103e-12,0.9999999999986642,4.560967049006054e-25,3.155341451009167e-06,"{'sigma': 0.0027830025287574503, 'lam': -0.4809630890216092}","{'sigma': 0.0009697995068478349, 'mu': -0.08354192360689683, 'w0': 0.24682529174237514, 'delta': 2.883120409080675e-10, 'psi': 0.2}",{'sigma': 0.0024204016900399206},6.310682902018334e-06
0.06000000000000001,0.2267851192980479,0.2226306245586061,0.004154494739441794,0.004396451650847322,1.9328787118238147e-05,0.8741426667089942,0.620739281554223,0.3664689292262211,-0.14159918406331604,0.01974778842435841,0.05475248034695095,-0.0994793495378741,3.894291015681561e-12,0.9999999999961058,1.500112453849816e-23,2.5071963825414236e-06,"{'sigma': 0.002541447891394968, 'lam': -0.516267299164689}","{'sigma': 0.000847420899543927, 'mu': -0.0859942466784922, 'w0': 0.2540707001798065, 'delta': 3.0380853388578544e-10, 'psi': 0.2}",{'sigma': 0.0021389608372978258},5.014392765082847e-06
0.06999999999999999,0.22882577453404154,0.22827590511367118,0.000549869420370358,0.003999750669867346,1.599800542110429e-05,0.8252819748977122,0.4841730508466724,0.17362212531473345,-0.2284484202662931,0.017521577001442155,-0.020112399698355748,-0.1294296249082113,7.061892200503409e-10,0.9999999992938107,3.899849164519064e-21,1.726264950579565e-06,"{'sigma': 0.0026179726639731747, 'lam': -0.6606401566726672}","{'sigma': 0.0009166746164088746, 'mu': -0.125509660111226, 'w0': 0.37081930963435256, 'delta': 2.1731505484012814e-12, 'psi': 0.2}",{'sigma': 0.001938111021485127},3.45252990115913e-06
0.08,0.23291967230635305,0.23397468958929657,-0.0010550172829435212,0.0038426850332713004,1.4766228264927255e-05,0.8036760947711908,0.43543148941472837,0.13342002900515165,-0.1701581334478238,0.016423500632259874,-0.05422402959780573,-0.14210219202199714,0.04550834340687496,0.9544916565931235,1.4116819839347194e-15,1.3653184371170773e-06,"{'sigma': 0.0025235233942315053, 'lam': -0.6761474954362843}","{'sigma': 0.000854233313919428, 'mu': -0.1273231819260876, 'w0': 0.3761773745559949, 'delta': 4.150013666048835e-13, 'psi': 0.2}",{'sigma': 0.0018613305500155754},2.7306368742341545e-06
0.09,0.2418320728116595,0.23975495455974244,0.0020771182519170595,0.0035443863310396003,1.256267446366036e-05,0.7252979394452372,0.2307582233164872,-0.10273191065386497,-0.1317795558681358,0.014783379472963711,0.1305700787207477,0.15162390980101953,0.998626079034384,0.0013739209642603739,1.3553835517306806e-12,8.836796757971097e-07,"{'sigma': 0.0027947203014775175, 'lam': -0.9315273290125243}","{'sigma': 0.0009565727483096254, 'mu': -0.18635739792386286, 'w0': 0.5505944451159994, 'delta': 1.8055978934228278e-10, 'psi': 0.2}",{'sigma': 0.00172032392272296},1.7673593515942195e-06
0.1,0.24390422463570044,0.24557962297511132,-0.001675398339410883,0.003352276217156783,1.1237755836114992e-05,0.6605126856378796,0.05765135010709502,-0.28433649744411016,0.0021532179817020697,0.013650467907561793,0.007829076955318188,0.07763611509738266,0.0028167281959120467,0.9971832717856862,1.8401763238486887e-11,8.92547897778634e-07,"{'sigma': 0.0029994841145494578, 'lam': -1.184421989874754}","{'sigma': 0.0012143777976956205, 'mu': -0.285489846942631, 'w0': 0.8434820724768062, 'delta': 2.2007344835373033e-09, 'psi': 0.2}",{'sigma': 0.0015997576293326399},1.1900638637048455e-06
0.11,0.24967018843248,0.25150806453488644,-0.0018378761024064327,0.003671372387074756,1.347897520457499e-05,0.632036241009256,-0.030820757782946195,-0.3963131121111985,0.08747866283551142,0.01459742727491871,-0.08810174988741064,-0.07831521910051355,1.552630000097958e-12,0.9999999999984475,1.1745475255618289e-17,1.0004400792385723e-06,"{'sigma': 0.0036084456323420356, 'lam': -1.3579593724786359}","{'sigma': 0.001470360770833734, 'mu': -0.30763957602749725, 'w0': 0.9089236246762442, 'delta': 1.693933882052079e-11, 'psi': 0.2}",{'sigma': 0.0017656153191921576},1.6674001320642874e-06
0.12,0.25906199002431113,0.25747703194711613,0.0015849580771949978,0.0039037821018897477,1.5239514699034736e-05,0.5991287766015336,-0.11806488010457762,-0.4830830414799767,0.16012642916818295,0.015161664681775391,-0.03577102248952291,-0.34720375706150763,2.778305927072135e-17,1.0,4.200969426981286e-21,1.5275563781306857e-06,"{'sigma': 0.004060403089989986, 'lam': -1.478099224011726}","{'sigma': 0.001639791515651856, 'mu': -0.31875205961302644, 'w0': 0.947474528611177, 'delta': 0.0057189809920530355, 'psi': 0.2}",{'sigma': 0.001883758924180259},2.182223397329551e-06
0.13,0.26426313276287816,0.26352896975558115,0.0007341630072970062,0.004797394748361368,2.301499637160523e-05,0.5397946325773724,-0.3063886554639077,-0.6897836829942396,0.4657297384915615,0.01820443532336756,0.04224841108283943,-0.0003915035827784156,2.551200112383302e-34,1.0,2.4510075458133187e-35,9.686269194552578e-06,"{'sigma': 0.005675953038015033, 'lam': -1.7924996440582095}","{'sigma': 0.0013140018923587515, 'mu': -0.14844202000047702, 'w0': 1.0443208526882821, 'delta': 0.6057476996082538, 'psi': 0.2}",{'sigma': 0.002322450036903152},5.535010968315758e-06
0.14,0.2642927697398903,0.2696964097155568,-0.005403639975666508,0.006850028501047742,4.692289046516637e-05,0.5120206631087263,-0.4160535911727822,-0.8409924519448995,0.694945132357533,0.025399030602432877,0.11199345796736548,-0.09056736801465876,5.630065100829103e-44,1.0,2.709055124149281e-44,2.6390563769452122e-05,"{'sigma': 0.00850335491463055, 'lam': -1.9511388750883776}","{'sigma': 0.0015513068965071763, 'mu': -0.09887062833489813, 'w0': 1.0456554395240676, 'delta': 0.7535413655192775, 'psi': 0.2}",{'sigma': 0.003284367359230817},1.508032215397264e-05
0.15000000000000002,0.29475786762746525,0.2764425298699781,0.01831533775748717,0.0248535548305238,0.0006176991877138529,0.48501236996516056,-0.5154197005135627,-0.9783902102186786,0.9719803413976181,0.08990526209482765,0.19130576994178833,-0.9651922024985881,3.7146089394610256e-46,1.0,4.2846518388227865e-46,0.0004845893150431307,"{'sigma': 0.032426494948255065, 'lam': -2.0905415887330534}","{'sigma': 0.0038603396743324137, 'mu': -1.7788478248403905e-05, 'w0': 1.0340823479081556, 'delta': 1.0340297917047714, 'psi': 0.2}",{'sigma': 0.01194426195374663},0.0002769081800246461
0.16,0.16628761377970572,0.2961508863731956,-0.12986327259348987,0.12486902091254037,0.015592272383656444,0.46120428079124365,-0.43641632521732865,-0.8626970763750577,0.9637454035643148,0.42163992682308177,0.5992861065748236,-1.0647914410443708,9.076682634810329e-39,1.0,9.662824868229138e-39,0.017189823775806724,"{'sigma': 0.1611238844143026, 'lam': -2.072956952211727}","{'sigma': 0.01985364933893541, 'mu': -5.678095767569502e-06, 'w0': 1.016772871741166, 'delta': 1.0167560957611284, 'psi': 0.2}",{'sigma': 0.059980497703642055},0.005729941258602245
0.17,0.13698752121645166,0.32486491181544386,-0.1878773905989922,0.21083989412254417,0.04445346095360563,0.46080551534747605,-0.3334341428544619,-0.7340881164717683,0.6838498403479408,0.6490122976660099,0.8512446748771982,-0.6428763593868134,5.560807700428383e-31,1.0,5.36774068405154e-31,0.05719062266007083,"{'sigma': 0.2624496878926029, 'lam': -1.9807622187038176}","{'sigma': 0.04004006553922124, 'mu': -0.07924417936434236, 'w0': 0.9222059645287397, 'delta': 0.6880783933265473, 'psi': 0.2}",{'sigma': 0.10107385622890332},0.019063540886690288
0.18000000000000002,1.7669059385313948,0.6371375007442676,1.1297684377871273,0.8448807079683783,0.7138234106971483,0.7167895649675524,0.23211085669990214,-0.2138004521692659,-0.552818421257204,1.3259082769975719,1.0028638963479282,-0.6237739986818525,2.271124063199735e-21,1.0,4.623375581722834e-23,0.3154749883510364,"{'sigma': 0.7353023174588832, 'lam': -1.0989550242373043}","{'sigma': 0.11970111987665177, 'mu': -0.00013789689748833212, 'w0': 0.5451213539333859, 'delta': 0.5447139364303688, 'psi': 0.2}",{'sigma': 0.4055012169731775},0.21031665890069098
