Realisation number,Variable,index,Lag-3 AC,Lag-6 AC,Smax,Standard deviation,Lag-1 AC,Coefficient of variation,Variance,Skewness,Kurtosis
1,Chlorella,0,-0.9100894676233503,0.8929931792009922,0.8874458874458874,0.8552573301443885,-0.8466648950305609,0.9289573921516522,0.8552573301443885,-0.03472406767649925,-0.2073700062007264
1,Brachionus,0,-0.9250597927185757,0.8833377624235983,0.9047619047619047,0.7488705819824609,-0.45911949685534603,0.7104260784834796,0.7488705819824609,0.21277349632385512,0.49915847284967674
2,Chlorella,0,-0.4971210913278414,0.29116839401187,0.09090909090909091,-0.10319780317122865,-0.840287005049163,0.40242714146514313,-0.10319780317122865,0.09274515014616,0.04606253875453982
2,Brachionus,0,-0.5032332358933476,0.2170254229781203,-0.004329004329004329,-0.4871113473292586,-0.8681902737177786,-0.5686951900079725,-0.4871113473292586,-0.3918859066347773,-0.13446718044113742
3,Chlorella,0,-0.8018425015501817,0.9010541234830367,0.8354978354978355,0.6074940207281425,-0.81167508193817,0.7804057046682612,0.6074940207281425,0.7096288422358048,0.17565771990433166
3,Brachionus,0,-0.7820887589689078,0.9115953583134025,0.7662337662337663,0.4357339002568873,-0.7821773407742051,0.3638054743555674,0.4357339002568873,-0.6206041279121269,0.2480290548321375
4,Chlorella,0,-0.7995393746124547,0.6412436885463727,0.6536796536796536,0.830543006466472,-0.8409956594915405,0.9115067765081054,0.830543006466472,0.637257507307999,0.011781380104526533
4,Brachionus,0,-0.8622552927628667,0.8807688900699797,0.6277056277056278,0.6522278324032245,-0.5233413056958102,0.5871202055097884,0.6522278324032245,-0.634954380370272,-0.7058198246080256
5,Chlorella,0,-0.8827176897865181,0.8003366108601294,0.8181818181818182,0.8862609619984056,-0.8200017716361061,0.9448135352998496,0.8862609619984056,0.17397466560368502,0.5725042076357517
5,Brachionus,0,-0.9043316502790328,0.8412614049074321,0.8354978354978355,0.7589689077863409,-0.7722561785809196,0.7137921870847729,0.7589689077863409,-0.19257684471609535,0.46895207724333426
6,Chlorella,0,-0.885463725750731,0.6455841970059351,0.8528138528138528,0.8952963061387192,-0.8298343520240944,0.9252369563291702,0.8952963061387192,-0.035344140313579596,0.19452564443263357
6,Brachionus,0,-0.8925502701745062,0.6082026751705201,0.8614718614718614,0.8650013287270796,-0.5921693684117284,0.8309859154929579,0.8650013287270796,0.10886703871024893,0.34945522189742234
7,Chlorella,0,-0.9223137567543628,0.6128089290459741,0.8614718614718614,0.9026485959783861,-0.6780937195500045,0.9587208787315088,0.9026485959783861,0.7862521038178759,0.07662326158207106
7,Brachionus,0,-0.8997253964035788,0.6758791744175747,0.7835497835497836,0.7732305784391887,-0.1811497918327576,0.7197271680396847,0.7732305784391887,-0.5646204269643016,-0.1898308087518824
8,Chlorella,0,-0.9390557179555321,0.7869607582602535,0.774891774891775,0.7926299937992737,-0.9201877934272302,0.8719107095402606,0.7926299937992737,0.36779165559394106,-0.5643546815484101
8,Brachionus,0,-0.9392328815661264,0.8473735494729384,0.7142857142857142,0.6858889184161574,-0.8341748604836569,0.6295508902471434,0.6858889184161574,-0.32677827974134116,-0.7424041101957659
9,Chlorella,0,-0.6634777216759679,0.49393214633714244,0.7056277056277056,0.7194614226237932,-0.7605633802816902,0.7776596687040483,0.7194614226237932,-0.028346177695101428,0.3914429976082913
9,Brachionus,0,-0.647887323943662,0.540349012312871,0.6103896103896104,0.6572769953051645,-0.0970856586057224,0.5943839135441582,0.6572769953051645,-0.7362919656302597,0.3871024891487289
10,Chlorella,0,-0.8724422003720437,0.8325803879883074,0.8874458874458874,0.8945876516963417,-0.6074054389228454,0.9429533173886085,0.8945876516963417,-0.6780051377447073,-0.622021436796882
10,Brachionus,0,-0.861458056515192,0.8375409690849501,0.7922077922077922,0.7478961821241917,-0.3883426344228896,0.666312339445478,0.7478961821241917,0.7742049782974578,-0.8011338471078042
11,Chlorella,0,-0.8650899105323768,0.7517937815572683,0.8961038961038961,0.8987509965453097,-0.8376295508902473,0.9448135352998496,0.8987509965453097,0.5069536717158296,0.14075648861723805
11,Brachionus,0,-0.8454247497564003,0.7424926920010632,0.8614718614718614,0.6856231730002659,-0.843475950039862,0.610505802108247,0.6856231730002659,0.10275489414474269,0.50252458145097
12,Chlorella,0,-0.875365399946851,0.8858180529719197,0.8441558441558441,0.8518912215430953,-0.8502967490477457,0.9352467003277528,0.8518912215430953,-0.18708477278766944,-0.04597395694924263
12,Brachionus,0,-0.8774913632739836,0.8802373992381965,0.8441558441558441,0.7341660023031271,-0.7098060058463993,0.7036938612808931,0.7341660023031271,0.42466117459473834,0.021879705908406415
13,Chlorella,0,-0.9294003011781382,0.8021968287713704,0.6190476190476191,0.526530250686509,-0.9000797236247677,0.7105146602887767,0.526530250686509,-0.27433785100540353,0.4085392860306494
13,Brachionus,0,-0.9125697581716717,0.6656036850031005,0.4632034632034632,-0.13916201612188858,-0.8341748604836569,-0.22402338559659848,-0.13916201612188858,0.4173974665603686,0.4601824785189123
14,Chlorella,0,-0.6609974311276464,0.6806625919036231,0.8095238095238095,0.946850916821685,-0.7587031623704492,0.9689077863406858,0.946850916821685,0.6471786695012846,-0.030206395606342463
14,Brachionus,0,-0.6354858712020552,0.41810612100274613,0.7662337662337663,0.917796084684206,-0.5451324297989194,0.8972451058552575,0.917796084684206,-0.35379573035698475,-0.18699619098237225
15,Chlorella,0,-0.817167153866596,0.6883692089644787,0.7575757575757576,0.8557002391708743,-0.7860749402072815,0.9114181947028082,0.8557002391708743,0.3892284524758615,-0.10399503941890338
15,Brachionus,0,-0.8511825671007176,0.7742049782974578,0.7575757575757576,0.7085658605722386,-0.8202675170519976,0.6519620869873329,0.7085658605722386,-0.47267251306581637,0.33793958720878736
16,Chlorella,0,-0.8657099831694571,0.6179466737532111,0.8614718614718614,0.901142705288334,-0.7409868013110108,0.9449021171051467,0.901142705288334,0.7099831694569936,0.01567897953760298
