Realisation number,Variable,AIC fold,AIC hopf,AIC null
1,Chlorella,3.656169077169925e-29,1.0,4.543785673129599e-30
1,Brachionus,4.2730159474406645e-35,1.0,1.0421727749721381e-35
2,Chlorella,7.603101729139748e-24,1.0,5.08851375021673e-25
2,Brachionus,2.9756470646315536e-20,1.0,2.137562901225104e-21
3,Chlorella,5.259935977005931e-32,1.0,1.4504553402643367e-32
3,Brachionus,9.642310121527963e-36,1.0,4.224305412378745e-36
4,Chlorella,1.203215610650538e-37,1.0,2.4882165195354804e-38
4,Brachionus,1.4052672885217904e-42,1.0,4.843342397812509e-43
5,Chlorella,3.920551344415458e-43,1.0,5.346750464346392e-44
5,Brachionus,7.284033705982088e-36,1.0,8.93638092883675e-37
6,Chlorella,4.030974248753134e-19,1.0,5.728474938499952e-21
6,Brachionus,1.585012389457158e-23,1.0,8.168836681356748e-25
7,Chlorella,1.2603341329821142e-22,1.0,1.6595531094641505e-23
7,Brachionus,2.3585418108740453e-30,1.0,4.5140857023615e-31
8,Chlorella,7.944383955487423e-23,1.0,7.820554315940892e-25
8,Brachionus,2.632233688328637e-19,1.0,1.3032849792481825e-21
9,Chlorella,2.7447490556105628e-27,1.0,1.5203258920702563e-28
9,Brachionus,3.5830844727318236e-32,1.0,3.779030842764525e-33
10,Chlorella,3.730500337895194e-26,1.0,6.53295712885194e-27
10,Brachionus,1.740416875151822e-27,1.0,4.493082410261553e-28
11,Chlorella,4.3603463631982215e-31,1.0,1.1992713272700854e-32
11,Brachionus,1.71801494066016e-36,1.0,7.361939491038823e-38
12,Chlorella,1.2600475000074715e-28,1.0,1.83227547653776e-30
12,Brachionus,1.7547569957797894e-31,1.0,3.1607846690298686e-33
13,Chlorella,1.1916506689632607e-24,1.0,2.1107687101177205e-26
13,Brachionus,2.3479011418437344e-25,1.0,5.811747482588587e-27
14,Chlorella,4.5998264970935744e-26,1.0,6.193858130585307e-28
14,Brachionus,1.526900947121987e-24,1.0,6.367178354524168e-27
15,Chlorella,2.9872475637911355e-25,1.0,2.863252060291594e-26
15,Brachionus,1.9736206276970876e-30,1.0,4.608882420689538e-31
16,Chlorella,1.629350296633564e-28,1.0,2.0756478497332803e-29
16,Brachionus,1.1956741875559126e-32,1.0,2.4159898809913224e-33
17,Chlorella,2.8782027963301256e-29,1.0,6.664620837652427e-30
17,Brachionus,3.94098465592645e-30,1.0,1.1946300903127154e-30
18,Chlorella,2.3239421881100435e-37,1.0,3.895906460848615e-38
18,Brachionus,3.895805208232012e-33,1.0,7.921303369389579e-34
19,Chlorella,4.804479893954627e-25,1.0,6.251882789465057e-26
19,Brachionus,5.0043587994896756e-27,1.0,1.2574449578940645e-27
20,Chlorella,8.025754552217761e-40,1.0,1.68375567859055e-40
20,Brachionus,7.145534858757779e-45,1.0,1.7466199000658714e-45
21,Chlorella,1.9762016897673422e-19,1.0,5.9764855237059596e-21
21,Brachionus,1.3734955061728737e-18,1.0,3.507653623552828e-20
22,Chlorella,2.319908263532088e-36,1.0,2.2445802221959916e-37
22,Brachionus,5.10937769822024e-28,1.0,5.0174340012810744e-29
23,Chlorella,9.540300361601237e-32,1.0,2.5693566937426313e-33
23,Brachionus,1.0001286147947216e-29,1.0,2.793272613252416e-31
24,Chlorella,7.979138606354412e-33,1.0,6.069596760239992e-34
24,Brachionus,1.2592274073253182e-34,1.0,1.85721242512269e-35
25,Chlorella,9.908106410343906e-33,1.0,1.8871287251843766e-33
25,Brachionus,2.1149779200255433e-38,1.0,6.595609729196099e-39
26,Chlorella,8.500905909164793e-35,1.0,1.2784913711765048e-35
26,Brachionus,2.4395345147402303e-37,1.0,5.989644372227689e-38
27,Chlorella,3.2171301732070194e-22,1.0,5.85372551486054e-24
27,Brachionus,1.0435546134699044e-24,1.0,3.1741436734661817e-26
28,Chlorella,2.108526531361478e-34,1.0,3.190881892580152e-35
28,Brachionus,5.6508884375516184e-33,1.0,1.1331993050681546e-33
29,Chlorella,7.88720093304645e-24,1.0,8.460307164700228e-26
29,Brachionus,3.2630050759121115e-23,1.0,1.4834938847397346e-25
30,Chlorella,7.790162619569842e-26,1.0,1.936818397625416e-27
30,Brachionus,3.274351642442274e-26,1.0,1.08233865738129e-27
31,Chlorella,7.004624362215893e-24,1.0,2.310864839226426e-25
31,Brachionus,1.2397184126254014e-20,1.0,5.221978351698364e-22
32,Chlorella,7.0317250648638125e-31,1.0,1.0795447871308083e-31
32,Brachionus,8.944441802395155e-31,1.0,1.3901545521223711e-31
33,Chlorella,1.3398529103831643e-19,1.0,6.892712336703735e-21
33,Brachionus,6.487845334763701e-20,1.0,4.876972047330715e-21
34,Chlorella,5.0341732476421485e-21,1.0,1.0832999663317951e-23
34,Brachionus,1.661589334466233e-20,1.0,1.7854963991048978e-23
35,Chlorella,1.2589058402707512e-26,1.0,9.736936562016139e-29
35,Brachionus,3.176740409340118e-28,1.0,2.1640495006233293e-30
36,Chlorella,8.4854956873709e-21,1.0,8.380267858827805e-24
36,Brachionus,4.791955024057794e-22,1.0,1.1591916672084128e-24
37,Chlorella,2.364672612533726e-21,1.0,3.67905980646896e-24
37,Brachionus,1.428750712173527e-15,0.9999999999999987,8.100153656725688e-19
38,Chlorella,8.662331673140285e-33,1.0,5.362586938171187e-34
38,Brachionus,1.8040163817618033e-31,1.0,1.6440037919936217e-32
39,Chlorella,3.038058844370349e-31,1.0,1.8284500424964906e-32
39,Brachionus,3.176272320498654e-24,1.0,2.9716754121171215e-25
40,Chlorella,1.0425717876721796e-24,1.0,3.507919990501649e-26
40,Brachionus,3.712478660088137e-21,1.0,3.120201765563959e-23
41,Chlorella,1.88755851666629e-23,1.0,9.103343493206958e-26
41,Brachionus,4.491989839429615e-19,1.0,4.668675441385297e-21
42,Chlorella,2.415483261232361e-20,1.0,3.428163338970016e-21
42,Brachionus,9.481272909089614e-27,1.0,2.115315918944259e-27
43,Chlorella,5.642193108580782e-29,1.0,2.0944909086199622e-30
43,Brachionus,2.272484795968328e-37,1.0,1.4376636078975485e-38
44,Chlorella,6.656534893787318e-29,1.0,1.1483393263762427e-29
44,Brachionus,3.566224474719248e-29,1.0,5.5756435263935185e-30
45,Chlorella,2.879502992120659e-31,1.0,5.676223041888035e-33
45,Brachionus,1.0833038911837279e-23,1.0,1.5558110449668969e-25
46,Chlorella,1.61106296610423e-27,1.0,1.057053261609406e-28
46,Brachionus,3.900089420112543e-32,1.0,4.864618585648108e-33
47,Chlorella,4.3710447933567864e-21,1.0,1.7869732854565883e-22
47,Brachionus,1.9914374509031759e-19,1.0,7.61372924290423e-21
48,Chlorella,6.36353878093446e-20,1.0,2.515816121682124e-22
48,Brachionus,4.1378444764020037e-22,1.0,3.1230600171319226e-24
49,Chlorella,7.30556836655119e-26,1.0,1.9653617435425367e-27
49,Brachionus,1.040121644981244e-23,1.0,3.065103095128954e-25
50,Chlorella,4.791180311451216e-24,1.0,1.8677975807652857e-25
50,Brachionus,2.3603261810480513e-30,1.0,1.0377272232030922e-31
51,Chlorella,2.1321432035058823e-21,1.0,2.096379306323408e-23
51,Brachionus,5.018244795954204e-22,1.0,8.196841744471013e-24
52,Chlorella,6.497679033612157e-40,1.0,1.1629212717829764e-40
52,Brachionus,5.621575220754759e-41,1.0,1.4076704598440428e-41
53,Chlorella,7.411701817396756e-16,0.9999999999999993,2.782661837335416e-18
53,Brachionus,5.806113887665788e-18,1.0,8.963330268841474e-20
54,Chlorella,6.996204025348765e-28,1.0,8.305946276045377e-30
54,Brachionus,8.476822181816764e-31,1.0,3.4529896450884337e-32
55,Chlorella,4.5729592603678145e-14,0.9999999999999543,4.933951291414212e-17
55,Brachionus,5.730085938393272e-12,0.9999999999942497,2.0127745426448086e-14
56,Chlorella,7.824166110383173e-30,1.0,9.162560395986344e-31
56,Brachionus,9.765890654695971e-29,1.0,1.0784136913270394e-29
57,Chlorella,3.11215989310311e-29,1.0,2.1309873229272095e-30
57,Brachionus,3.662037140286667e-25,1.0,2.3497781286774036e-26
58,Chlorella,1.2633641489816153e-24,1.0,3.7176737356010746e-26
58,Brachionus,1.2784096851824059e-24,1.0,6.337116183776848e-26
59,Chlorella,1.4152600638432287e-25,1.0,9.201117297346207e-27
59,Brachionus,4.742725107041096e-24,1.0,3.7326875430861254e-25
60,Chlorella,4.299450525069348e-25,1.0,5.465845913939349e-26
60,Brachionus,1.9861861354671412e-27,1.0,3.070003116628861e-28
61,Chlorella,6.317579189562388e-30,1.0,8.663092885270497e-32
61,Brachionus,5.511251592365093e-30,1.0,1.688611291625135e-31
62,Chlorella,1.607314226602363e-30,1.0,8.000868520026367e-32
62,Brachionus,1.8864529073010917e-33,1.0,6.88841588089758e-35
63,Chlorella,5.7114085824913676e-34,1.0,1.578043829398726e-34
63,Brachionus,1.498589571894676e-35,1.0,4.6644526531414084e-36
64,Chlorella,9.68447770133727e-37,1.0,1.0646472477809864e-37
